employers' associations,2016,2017,2018,2019,2020
The Employers' Association Spekter,215170.0,216400.0,215500.0,220300.0,220500.0
Finance Norway,36465.0,36382.0,40000.0,40000.0,37047.0
Association of Local Authorities,470622.0,432524.0,477000.0,478800.0,478764.0
The Enterprise Federation of Norway,226753.0,236435.0,258144.0,254491.0,302872.0
"Confederation of Norwegian Business and Industry, total",690445.0,706580.0,662948.0,674411.0,661268.0
Andre,157321.0,181653.0,155899.0,140350.0,107645.0
