age,Total,Change,Change in percent
25-39 years,1015406,65264,6.868868021832526
40-54 years,982129,35606,3.7617680711403736
55-66 years,543041,24219,4.668074985255059
67 years or older,68038,7597,12.569282440727319
All ages,3037853,195350,6.872464162746706
Less than 25 years,429239,62664,17.09445543203983
