contents,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Employed persons, full-time (per cent)",58.8,59.5,59.8,60.9,61.3,61.7,62.7,62.7,63.2,64.7
"Employed persons, part-time (per cent)",40.9,40.0,39.8,38.7,38.4,37.9,36.9,36.9,36.4,34.9
