occupation,Sist år,Endring sist år,Endring siste 5 år
Freight handlers,47150.0,5.034528848295834,24.242424242424242
Fumigators and other pest and weed controllers,46720.0,5.296371422132071,12.659754039064383
"Gallery, museum and library technicians",52220.0,6.073532398943734,20.32258064516129
Garbage and recycling collectors,45630.0,5.771905424200279,22.266881028938908
Garden and horticultural labourers,40320.0,5.466910803034266,18.762886597938145
"Gardeners, horticultural and nursery growers",41880.0,5.944852011130787,21.356128658359896
General office clerks,51240.0,6.086956521739131,22.99567930868939
Generalist medical practitioners,87840.0,4.409841911327707,20.941759603469638
Geologists and geophysicists,103740.0,2.378367709464127,20.138969310943832
Glass and ceramics plant operators,45150.0,6.385485391140433,19.318181818181817
Glaziers,47040.0,5.707865168539326,21.770644576753817
Government social benefits officials,47700.0,1.5758091993185688,18.36228287841191
Government tax and excise officials,50820.0,1.7824954936911677,18.932834074420782
Graphic and multimedia designers,61410.0,4.884713919726729,22.525937749401436
Hairdressers,39840.0,5.985634477254589,24.11214953271028
Hand packers,44260.0,3.945514325974636,22.366602156483275
"Handicraft workers in textile, leather and related materials",40590.0,7.295796986518637,18.54556074766355
Handicraft workers not elsewhere classified,44690.0,3.978594695207073,14.355168884339816
Health associate professionals not elsewhere classified,52890.0,5.949519230769231,22.914245874970952
Health care assistants,47040.0,5.684115929004719,21.928460342146188
Health services managers,77020.0,3.3964290508793127,18.21949347659248
Heavy truck and lorry drivers,47100.0,6.2246278755074425,20.36800408893432
Home-based personal care workers,42240.0,4.42521631644005,20.651242502142246
Hotel managers,56330.0,1.8073377914332187,17.25645295587011
Hotel receptionists,39270.0,6.135135135135135,21.054254007398274
Human resource managers,99170.0,7.1065989847715745,20.9390243902439
Industrial and production engineers,71650.0,2.4010290124339,20.98953056399865
Information and communication technology operations technicians,65710.0,4.2023469711385975,20.524578136463685
Information and communication technology user support technicians,59150.0,5.776108726752503,22.1854988638711
Information and communications technology installers and servicers,43540.0,5.9367396593673964,18.605284663579404
Information and communications technology sales professionals,78420.0,4.295784013831627,21.35561745589601
Information and communications technology service managers,102040.0,5.489506874806162,23.400653041480226
Insulation workers,46310.0,6.902123730378578,20.192058136516998
Insurance representatives,72920.0,6.065454545454545,22.184986595174262
Interior designers and decorators,51710.0,4.149043303121853,16.542709037638044
Jewellery and precious metal workers,46900.0,3.4178610804851157,20.596554384160452
Journalists,65590.0,5.568968292290359,20.459136822773186
Judges,99450.0,2.6951672862453533,18.618797709923665
Kitchen helpers,37510.0,5.661971830985915,23.918070697059797
Landscape architects,70960.0,3.4553141857413614,16.883544720803823
Laundry machine operators,40050.0,6.289808917197452,21.216707021791766
Lawyers,85880.0,4.744481034272472,20.078299776286354
Legal professionals not elsewhere classified,79710.0,5.534224811333245,28.543783260764393
Legal secretaries,54620.0,6.846635367762128,19.96485833516363
Legislators,83170.0,-0.8582667779234712,19.92790194664744
Librarians and related information professionals,52190.0,3.984857541342897,18.69456447577894
Life science technicians (excluding medical),52440.0,6.911314984709479,21.50139017608897
Lifting truck operators,46070.0,3.574640287769784,20.099061522419188
Livestock and dairy producers,39000.0,5.863192182410423,22.912070595650803
Livestock farm labourers,32480.0,0.8069522036002483,21.465968586387437
Locomotive engine drivers,68770.0,5.800000000000001,20.733848314606742
Management and organisation analysts,78100.0,4.397807779708595,19.98770932554924
Managing directors and chief executives,106130.0,5.812562313060818,23.092090002319647
Manufacturing labourers not elsewhere classified,48490.0,6.081820170640998,21.194701324668834
Manufacturing managers,89400.0,5.015858099377423,22.365179304681085
Manufacturing supervisors,59860.0,5.573192239858907,20.978172999191592
"Mathematicians, actuaries and statisticians",67420.0,4.462348930895569,16.542783059636992
Mechanical engineering technicians,66010.0,5.211985973860376,19.13012091680202
Mechanical engineers,84600.0,5.446840334039636,19.138149556400506
Mechanical machinery assemblers,48740.0,6.488966571990387,19.57801766437684
Medical and dental prosthesis technicians,56340.0,5.50561797752809,22.878953107960744
Medical and pathology laboratory technicians,54450.0,4.490500863557859,21.43175735950045
Medical assistants,44250.0,5.835924419995217,21.766648321408915
Medical imaging and therapeutic equipment technicians,55450.0,4.701661631419939,20.438748913987837
"Messengers, package deliverers and luggage porters",44290.0,5.427279219233515,32.05128205128205
Metal moulders and coremakers,48260.0,9.160823343135037,22.986748216106015
Metal processing plant operators,47440.0,5.211798624972277,20.19255130478845
Metal production process controllers,57460.0,5.956112852664576,19.11276948590381
Metal working machine tool setters and operators,47640.0,6.291834002677376,22.657054582904223
Meteorologists,62050.0,4.885057471264368,15.764925373134329
Midwifery professionals,66760.0,4.508453350031308,24.621989919731195
Mineral and stone processing plant operators,63100.0,8.214714457211455,27.423263327948305
Miners and quarriers,56760.0,9.681159420289855,28.271186440677965
Mining and metallurgical technicians,90370.0,5.449241540256709,25.044970250449705
"Mining engineers, metallurgists and related professionals",99460.0,4.573651561350016,20.440784693630416
Mining managers,129240.0,2.4413443246670896,19.126186745322148
Mining supervisors,71740.0,7.847263980757667,25.026141512722205
Mixed crop and animal producers,38280.0,5.512679162072767,23.44405030635279
Mixed crop and livestock farm labourers,35730.0,4.596018735362998,21.15971515768057
Mobile farm and forestry plant operators,45800.0,5.944945639602128,18.80674448767834
Motor vehicle mechanics and repairers,46310.0,5.561887394574881,19.50967741935484
"Musicians, singers and composers",60200.0,4.841518634622083,18.15505397448479
Non-commissioned armed forces officers,80000.0,7.310529845741113,53.403643336529235
Nurses,55200.0,5.122833745953152,20.39258451472192
Nursing professionals,62260.0,4.938479689870218,24.048615262004382
Odd job persons,44270.0,4.855518711511133,23.417897964873152
Office supervisors,71930.0,4.747342362021261,21.585530764029752
Other artistic and cultural associate professionals,56270.0,7.2626763248189095,23.263964950711937
Other music teachers,56360.0,5.860255447032307,22.468491960017385
"Packing, bottling and labelling machine operators",46600.0,5.52536231884058,11.697027804410356
Painters and related workers,45430.0,4.822335025380711,20.344370860927153
Paper products machine operators,42820.0,3.205591708845505,22.939994257823713
Payroll clerks,55680.0,5.29500756429652,20.46733016010385
Personal care workers in health services not elsewhere classified,43520.0,5.451902108068815,20.554016620498615
Personnel and careers professionals,69290.0,5.032590571471881,19.69252029711522
Personnel clerks,58920.0,5.421363392377885,19.12656692276587
Pet groomers and animal care workers,35270.0,-1.5354550530429927,5.567195450463934
Petroleum and natural gas refining plant operators,79000.0,4.455903741901362,16.3133097762073
Pharmaceutical technicians and assistants,51620.0,5.4114764141311005,18.09654541294898
Pharmacists,63360.0,5.057204443707511,18.14283050531419
"Philosophers, historians and political scientists",56830.0,4.33266017991555,20.402542372881356
Photographers,57290.0,5.254455263641375,20.763069139966273
Physical and engineering science technicians not elsewhere classified,69430.0,4.958427815570673,20.4754468158945
Physicists and astronomers,74920.0,3.997779011660189,17.928537698725012
Physiotherapists,52960.0,5.141949573158626,22.394268546336953
Plastic products machine operators,45950.0,5.389908256880735,21.947983014861997
Plumbers and pipe fitters,50830.0,5.085796981600165,19.995278564683662
Police inspectors and detectives,61980.0,0.8132726089785295,18.12464265294454
Policy administration professionals,61690.0,3.22958500669344,18.817411402157163
Policy and planning managers,82680.0,2.912621359223301,19.96517701683111
Poultry producers,46760.0,12.674698795180722,28.46153846153846
Power production plant operators,72560.0,5.511124036643886,28.402052734029375
Pre-press technicians,47770.0,5.289839100727353,15.38647342995169
Precision-instrument makers and repairers,58850.0,4.4921875,26.99611566681053
Primary school teachers,56710.0,5.8417319895483395,21.3048128342246
Print finishing and binding workers,42010.0,3.959415986142044,21.768115942028984
Printers,46920.0,6.976744186046512,20.369420215495126
Prison guards,49940.0,2.60941031436203,15.762633286972646
Product and garment designers,63750.0,3.928920769481578,15.67773543821448
Production clerks,55370.0,5.1861702127659575,20.08241162437649
Professional services managers not elsewhere classified,90330.0,5.772833723653395,23.25010233319689
Protective services workers not elsewhere classified,43320.0,7.015810276679842,24.19724770642202
Psychologists,67360.0,5.266447882481637,21.984788120246286
Public relations professionals,66470.0,5.007898894154819,20.59143686502177
Pulp and papermaking plant operators,46130.0,6.585027726432532,21.972501322051823
Real estate agents and property mangers,84510.0,11.007487192959411,13.238643976952968
Receptionists (general),47900.0,5.9734513274336285,22.038216560509554
Refuse sorters,41880.0,3.1781226903178124,18.27167466817283
Regulatory government associate professionals not elsewhere classified,53180.0,4.705650718645402,21.277080957810718
Religious associate professionals,50670.0,4.711717296962183,19.13943098988949
Religious professionals,63390.0,4.448838358872961,18.552459322984852
Research and development managers,100820.0,4.998958550302021,20.51159454936648
Restaurant managers,51850.0,5.1084532738698565,23.27627199239182
Retail and wholesale trade managers,62550.0,5.073072400470351,19.46142093200917
Riggers and cable splicers,57860.0,9.562582844158303,22.923305714892713
Roofers,48920.0,6.025140875596012,23.97364419665484
Rubber products machine operators,44660.0,5.954922894424674,11.677919479869967
Sales and marketing managers,93780.0,5.2761562640323305,19.816021464162514
Sales workers not elsewhere classified,45960.0,4.5258130543552415,17.274815003827506
Secondary education teachers,60450.0,5.423787931635856,20.394343756223858
Securities and finance dealers and brokers,110080.0,6.429469206226433,13.942656039747439
Security guards,44080.0,5.910619894281596,19.328641039523554
Senior government officials,118640.0,3.8788197180632165,19.056698444555945
Senior officials of special-interest organisations,78870.0,4.936136242682278,17.663732657019246
Service station attendants,43240.0,5.850673194614443,31.86947240012199
Services managers not elsewhere classified,61580.0,5.589849108367627,17.766303308471983
Sewing machine operators,41600.0,5.691056910569105,21.21212121212121
Sheet metal workers,48250.0,5.997363796133567,21.843434343434343
Shelf fillers,41570.0,6.453265044814341,27.125382262996943
Ships¿ deck crew and related workers,53060.0,3.089178162036138,18.463942844384906
Ships¿ deck officers and pilots,78970.0,3.0805377888004175,18.147815679233993
Ships¿ engineers,81340.0,4.833097048588736,20.23651145602365
Shop sales assistants,43060.0,5.255438768027377,22.294802612894063
Shop supervisors,49360.0,5.537737866153517,18.51140456182473
Shopkeepers,49610.0,9.032967032967033,26.750127746550845
Shotfirers and blasters,66140.0,4.223132682004413,16.690190543401553
Social educators,54810.0,5.302593659942363,20.514511873350923
Social welfare managers,69150.0,4.141566265060241,18.71244635193133
Social work and counselling professionals,54050.0,5.073872472783826,21.16117462452365
Social work associate professionals,51180.0,4.236252545824847,19.551506657323056
"Sociologists, anthropologists and related professionals",69350.0,3.1533541573702215,14.666005291005291
Software and applications developers and analysts not elsewhere classified,75280.0,5.745188931029639,19.929902819818384
Software developers,76700.0,4.967839058437115,22.36758136566688
Special needs teachers,54810.0,4.779200917606576,19.152173913043477
Specialist medical practitioners,106510.0,3.5686503306106574,23.01917301917302
"Sport coaches, instructors and officials",51600.0,6.788079470198675,25.853658536585368
"Sports, recreation and cultural centre managers",66150.0,5.536056158264199,20.338366381662727
Spray painters and varnishers,47350.0,6.261220825852782,20.85247575293517
Stall and market salespersons,61870.0,4.421940928270042,18.479509766373038
"Statistical, finance and insurance clerks",58300.0,11.921674025724707,26.601520086862106
Steam engine and boiler operators,54300.0,5.724299065420561,22.049898853674982
Stock clerks,48540.0,5.45296545731045,21.107784431137723
"Stonemasons, stone cutters, splitters and carvers",50390.0,6.917037980055167,20.492587278813964
Street and related service workers,44690.0,4.489127893383213,17.358193277310924
Structural metal preparers and erectors,47000.0,6.142728093947606,21.91958495460441
"Supply, distribution and related managers",82960.0,5.641156246020628,21.642228739002935
Systems administrators,69680.0,4.766200571342655,22.979174020472996
Systems analysts,77240.0,4.7322033898305085,19.28957528957529
"Tailors, dressmakers, furriers and hatters",45690.0,4.625601099152736,18.12306101344364
Teachers¿ aides,38420.0,3.5021551724137927,19.725771268307884
Teaching professionals not elsewhere classified,59880.0,3.294807659134035,18.246445497630333
Technical and medical sales professionals (excluding ICT),77230.0,4.690253490578826,18.998459167950692
Telecommunications engineering technicians,52300.0,5.870445344129554,22.654784240150093
Telecommunications engineers,79240.0,1.485655737704918,18.534031413612563
Telephone switchboard operators,46310.0,6.288730778058298,23.296059637912673
Toolmakers and related workers,49970.0,5.533262935586062,19.26014319809069
Town and traffic planners,67870.0,4.287031346035648,21.761750986724078
Trade brokers,156750.0,25.590898165211122,26.43168252944023
Traditional and complementary medicine associate professionals,56440.0,7.0561456752655545,23.50109409190372
Training and staff development professionals,69750.0,4.44743935309973,20.48713076524443
"Translators, interpreters and other linguists",53790.0,0.2422661200149087,21.586799276672693
Transport clerks,53550.0,5.2890287062524575,22.20447284345048
Transport conductors,62910.0,6.9897959183673475,20.33282325937261
Travel attendants and travel stewards,40140.0,2.267515923566879,0.35000000000000003
Travel consultants and clerks,47860.0,5.325704225352112,21.843177189409367
Travel guides,42030.0,4.786836200448766,19.982871824150727
Undertakers and embalmers,53730.0,4.81857198595396,18.84538818845388
Underwater divers,56800.0,2.323905602594127,16.013071895424837
University and higher education teachers,62240.0,3.7160473254457593,16.271249766486083
Unspecified or unidentifiable occupations,53970.0,4.2294322132097335,13.12093900649759
Upholsterers and related workers,45440.0,3.6732831394022356,21.953837895866883
Valuers and loss assessors,63980.0,5.14379622021364,21.312097080015167
Vehicle cleaners,40470.0,4.627714581178903,20.01779359430605
Veterinarians,64580.0,3.294945617402431,15.631154879140555
Veterinary technicians and assistants,42190.0,4.663855122798314,25.41617122473246
Visual artists,53340.0,6.403351286654697,14.537255744041227
Vocational education teachers,55330.0,5.030372057706909,17.42359932088285
Waiters,37720.0,5.658263305322129,25.607725607725605
Weaving and knitting machine operators,42900.0,3.4233365477338475,18.214384127858914
Web and multimedia developers,64590.0,2.3937856689917565,21.15925717501407
Web technicians,63060.0,3.751233958538993,13.213644524236983
Welders and flame cutters,48960.0,4.414587332053743,20.591133004926107
Well drillers and borers and related workers,76560.0,6.200582605076987,21.775091458565292
Wood processing plant operators,43150.0,3.9007946063086925,19.19889502762431
