contents,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Employed persons, full-time (per cent)",73.2,73.2,73.4,74.1,73.7,74.0,74.5,74.6,74.6,75.1
"Employed persons, part-time (per cent)",26.5,26.4,26.3,25.5,25.9,25.7,25.1,25.1,25.0,24.5
