sex,2014Q1,2015Q1,2016Q1,2017Q1,2018Q1,2019Q1,2020Q1,2021Q1,2022Q1,2023Q1,2024Q1
Females,9.6,8.9,10.3,9.0,8.9,9.0,8.7,10.3,9.3,8.3,10.0
Males,5.8,5.7,6.6,6.7,6.9,5.9,5.8,7.5,6.8,6.8,7.2
