region,Females,Males,Difference nominally,Difference share
Årdal,50390.0,59490.0,-9100.0,84.70331148092116
Ås,52980.0,56670.0,-3690.0,93.48861831656961
Åsnes,48810.0,46950.0,1860.0,103.96166134185303
Øksnes,46000.0,50000.0,-4000.0,92.0
Ørland,48300.0,54640.0,-6340.0,88.39677891654466
Ørsta,48110.0,50940.0,-2830.0,94.44444444444444
Østre Toten,48410.0,48710.0,-300.0,99.38411003900637
Øvre Eiker,49470.0,51130.0,-1660.0,96.75337375317817
Øyer,47900.0,48390.0,-490.0,98.98739408968795
Øygarden,49910.0,55500.0,-5590.0,89.92792792792793
Øystre Slidre,46800.0,46580.0,220.0,100.47230571060541
