age,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03
15-24 years,11.1,11.1,11.2,11.3,11.4,11.5,11.6,11.7,11.7,11.7,11.6,11.6,11.6,11.6,11.7,11.7,11.8,11.8,11.9,11.9,12.0,12.0,12.1,12.1,11.7,12.0,13.5,14.4,15.0,14.6,14.4,13.6,13.3,12.2,13.1,12.6,13.5,13.5,13.7,13.9,12.5,12.5,11.4,11.5,11.2,11.1,10.5,9.7,9.4,9.6,9.7,9.9,10.1,10.3,10.5,10.7,11.0,11.2,11.4,11.6,11.7
25-74 years,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.7,3.0,3.3,3.8,3.9,4.0,3.9,4.1,4.0,4.0,3.8,3.7,3.6,3.7,3.6,3.5,3.2,2.9,2.6,2.6,2.5,2.3,2.1,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2
