age,Total,Change,Change in percent
25-39 years,492289,7942,1.639733496852463
40-54 years,475758,2166,0.4573556985759894
55-66 years,265732,6712,2.5913056906802563
67 years or older,28656,2300,8.726665654879344
All ages,1492295,24682,1.6817785070042306
Less than 25 years,229860,5562,2.4797367787496993
