contents,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Employed persons, full-time (per cent)",86.2,85.5,85.5,85.9,84.9,85.0,85.1,85.1,84.8,84.4
"Employed persons, part-time (per cent)",13.6,14.2,14.3,13.8,14.9,14.8,14.6,14.6,14.9,15.3
