year,Difference average,Difference average fulltime,Difference median,Difference median fulltime
2020,87.52663180321518,89.28976199471099,93.70337867485739,95.18613607188703
2021,87.86073356916775,89.6395580510777,94.10023260731656,95.39852095316351
2022,87.60888888888888,89.46913366764655,93.51833097022482,95.51854055125916
2023,88.34510595358223,90.2275331478147,94.41575827117997,95.47991071428571
2024,88.19400127632419,90.04039776258546,93.86203150461706,95.31112286268288
