age,Total,Change,Change in percent
25-39 years,543329,16030,3.0400209368878
40-54 years,514270,8068,1.5938301310544012
55-66 years,289986,10160,3.630827728659953
67 years or older,44082,2834,6.870636152055858
All ages,1606901,48613,3.11964155534792
Less than 25 years,215234,11521,5.655505539656281
