region,Total,Change,Change in percent
Loppa,442,34,8.333333333333332
Lund,1456,51,3.6298932384341636
Lunner,2371,196,9.011494252873563
Lurøy,1163,94,8.793264733395697
Luster,2457,116,4.955147372917557
Lyngdal,5379,308,6.073752711496746
Lyngen,1240,-11,-0.8792965627498002
Lærdal,1133,23,2.0720720720720722
Lødingen,897,-8,-0.8839779005524863
Lørenskog,26074,1801,7.419766819099411
Løten,2057,121,6.25
Malvik,3701,245,7.08912037037037
Marker,1357,42,3.193916349809886
Masfjorden,679,3,0.4437869822485207
Melhus,5397,126,2.3904382470119523
Meløy,2959,99,3.4615384615384617
Meråker,956,43,4.70974808324206
Midt-Telemark,4705,238,5.327960599955228
Midtre Gauldal,2731,-371,-11.960025789813024
Modalen,254,17,7.172995780590717
Modum,6009,197,3.389538885065382
Molde,21609,1260,6.191950464396285
Moskenes,502,60,13.574660633484163
Moss,22931,1531,7.154205607476635
Målselv,4123,65,1.6017742730409068
Måsøy,598,56,10.33210332103321
Namsos,8549,274,3.311178247734139
Namsskogan,426,11,2.6506024096385543
Nannestad,3957,371,10.345789180145008
Narvik,11144,217,1.9859064702114029
Nes,6678,331,5.215062234126359
Nesbyen,1698,164,10.691003911342895
Nesna,812,4,0.49504950495049505
Nesodden,5259,192,3.7892243931320304
Nissedal,705,34,5.067064083457526
Nittedal,9062,636,7.548065511511987
Nome,2416,48,2.027027027027027
Nord-Aurdal,4703,243,5.448430493273543
Nord-Fron,2615,115,4.6
Nord-Odal,1737,61,3.639618138424821
Nordkapp,1628,205,14.406184118060436
Nordre Follo,27573,2316,9.169735122936215
Nordre Land,2920,59,2.0622160083886754
Nordreisa,2246,58,2.6508226691042047
Nore og Uvdal,1356,35,2.6495079485238455
Notodden,6001,184,3.163142513323019
Nærøysund,5170,12,0.23264831329972857
Oppdal,3797,306,8.76539673446004
Orkland,9386,664,7.612932813574869
Os,764,-2,-0.26109660574412535
Osen,386,18,4.891304347826087
Oslo municipality,559743,56476,11.221876260513802
Osterøy,3179,24,0.7606973058637084
Overhalla,1534,-85,-5.250154416306362
Porsanger - Porsángu - Porsanki ,2048,98,5.0256410256410255
Porsgrunn,19443,1313,7.242140099282956
Raarvihke - Røyrvik,240,-2,-0.8264462809917356
Rakkestad,3433,66,1.9602019602019602
Rana,14661,707,5.066647556256271
Randaberg,4030,228,5.996843766438716
Rauma,3533,137,4.034157832744405
Rendalen,518,-29,-5.301645338208409
Rennebu,1111,44,4.123711340206185
Rindal,867,-5,-0.573394495412844
Ringebu,2336,94,4.192685102586976
Ringerike,15539,798,5.41347262736585
Ringsaker,16524,1020,6.578947368421052
Risør,2773,162,6.204519341248563
Rollag,741,63,9.29203539823009
Råde,4222,327,8.39537869062901
Rælingen,3525,118,3.4634575873202236
Rødøy,483,-11,-2.2267206477732793
Røros,3650,178,5.126728110599078
Røst,256,-41,-13.804713804713806
Salangen,1055,4,0.3805899143672693
Saltdal,2312,45,1.9850022055580063
Samnanger,646,23,3.6918138041733553
Sande (Møre og Romsdal),1584,218,15.95900439238653
Sandefjord,33815,2349,7.465200533909616
Sandnes,44681,2646,6.294754371357203
Sarpsborg,31362,1070,3.532285752013733
Sauda,2149,58,2.7737924438067907
Sel,2898,119,4.282115869017632
Selbu,1779,55,3.1902552204176335
Seljord,1519,72,4.97581202487906
Senja,8528,425,5.244970998395656
Sigdal,1629,50,3.1665611146295127
Siljan,573,-24,-4.0201005025125625
Sirdal,1343,115,9.364820846905538
Skaun,1810,85,4.9275362318840585
Skien,28636,988,3.5734953703703707
Skiptvet,1033,14,1.3738959764474974
Skjervøy,1571,-24,-1.5047021943573669
Skjåk,1107,104,10.36889332003988
Smøla,1167,-36,-2.9925187032418954
Snåase - Snåsa,788,25,3.2765399737876804
Sogndal,7709,430,5.907404863305398
Sokndal,1377,85,6.578947368421052
Sola,28473,1135,4.151730192406174
Solund,372,-32,-7.920792079207921
Sortland - Suortá,6025,50,0.8368200836820083
Stad,4542,167,3.817142857142857
Stange,7816,58,0.7476153647847383
Stavanger,95892,7428,8.396635919696148
Steigen,1293,115,9.762308998302208
Steinkjer,12343,877,7.648700505843363
Stjørdal,12155,1025,9.209344115004491
Stor-Elvdal,1016,13,1.296111665004985
Stord,11834,1391,13.319927223977784
Storfjord - Omasvuotna - Omasvuono,939,8,0.8592910848549946
Strand,4976,179,3.731498853450073
Stranda,2941,247,9.16852264291017
Stryn,4471,322,7.760906242468065
Sula,3526,107,3.1295700497221413
Suldal,2271,7,0.30918727915194344
Sunndal,3742,63,1.7124218537646099
Sunnfjord,13608,571,4.379841988187466
Surnadal,3179,127,4.161205766710354
Sveio,1646,-4,-0.24242424242424243
Sykkylven,4151,117,2.9003470500743678
Sømna,845,30,3.6809815950920246
Søndre Land,1748,83,4.984984984984985
Sør-Aurdal,1359,2,0.14738393515106854
Sør-Fron,1106,82,8.0078125
Sør-Odal,2630,60,2.3346303501945527
Sør-Varanger,5904,296,5.2781740370898715
Sørfold,1003,5,0.501002004008016
Sørreisa,1089,-52,-4.557405784399649
Time,8921,703,8.554392796300803
Tingvoll,1075,27,2.5763358778625953
Tinn,2836,80,2.9027576197387517
Tjeldsund,1621,72,4.648160103292446
Tokke,1113,82,7.953443258971872
Tolga,575,14,2.4955436720142603
Tromsø,50846,2898,6.044047718361558
Trondheim,136106,9367,7.3907794759308505
Trysil,3302,322,10.805369127516778
Træna,218,-28,-11.38211382113821
