sex,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08
Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,69.5,69.5,69.5,69.4,69.3,69.1,68.8,68.7,68.4,68.2,68.1,68.1,67.9,67.7,67.6,67.9,68.1,68.0,67.9,67.7,67.9,67.8,67.8,67.8,67.8,67.9,67.9,67.8,67.8,67.7,67.9,67.7,67.7,67.6,67.8,67.8,67.9,68.0,68.1,67.9,67.8,67.7,67.8,67.8,67.7,67.5,67.3,67.2,67.3,67.3,67.1,67.0,67.2,67.3,67.4,67.2,67.3,67.0,66.8,66.7,66.7,67.0,67.0,67.1,66.7,66.8,66.7,66.6,66.4,66.7,66.9,67.0,66.8,66.7,66.8,66.9,66.6,66.4,66.4,66.4,66.3,66.1,66.4,66.4,66.3,66.2,66.1,66.1,66.2,66.3,66.4,66.5,66.4,66.1,66.1,66.0,66.1,66.0,65.9,66.0,65.7,65.9,65.9,66.1,66.1,65.8,65.8,65.9,66.2,66.2,66.1,66.2,66.2,66.2,66.2,66.2,66.3,66.2,66.1,66.1,66.3,66.5,66.4,66.2,66.5,66.6,66.9,66.7,66.5,66.5,66.5,66.8,66.7,66.4,66.2,65.5,65.4,65.3,65.6,65.7,65.6,65.7,65.5,65.5,65.3,65.5,65.6,66.0,66.2,66.6,66.7,67.2,67.1,67.3,67.3,67.4,67.3,67.5,67.6,67.6,67.6,67.4,67.4
Males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9,73.7,73.5,73.4,73.0,72.8,72.5,72.2,72.0,71.8,71.7,71.7,71.8,71.7,71.5,71.4,71.7,71.8,71.8,71.6,71.4,71.5,71.4,71.4,71.3,71.3,71.4,71.6,71.6,71.7,71.7,72.0,71.9,71.8,71.8,71.9,71.9,71.9,71.9,71.9,71.7,71.5,71.4,71.6,71.7,71.6,71.4,71.3,71.3,71.3,71.4,71.3,71.2,71.3,71.5,71.5,71.3,71.4,71.2,71.1,71.1,71.1,71.3,71.3,71.3,71.0,71.1,70.9,70.8,70.5,70.8,70.9,70.9,70.7,70.6,70.7,70.8,70.5,70.3,70.3,70.2,70.1,69.9,70.1,70.1,70.0,69.7,69.6,69.4,69.3,69.3,69.2,69.3,69.0,68.7,68.7,68.6,68.8,68.8,68.9,68.9,68.7,68.8,68.9,69.1,69.2,69.0,69.1,69.3,69.7,69.8,69.8,70.1,70.3,70.4,70.5,70.5,70.6,70.5,70.3,70.3,70.4,70.6,70.5,70.3,70.6,70.8,71.1,71.0,70.8,70.8,70.8,71.0,71.0,70.6,70.0,69.5,69.3,69.3,69.4,69.9,70.0,70.1,69.8,69.8,69.7,70.1,70.3,71.2,71.5,72.1,72.1,72.3,72.6,72.5,72.5,73.0,73.3,73.7,73.4,73.3,73.2,73.0,72.9
