region,Lives in the region,Works in the region
Nord-Aurdal,41950.0,42220.0
Nord-Fron,43880.0,41810.0
Nord-Odal,42670.0,41960.0
Nordkapp,41720.0,41120.0
Nordre Follo,50640.0,45910.0
Nordre Land,41410.0,40000.0
Nordreisa,44160.0,43570.0
Nore og Uvdal,41160.0,41000.0
Notodden,44060.0,43030.0
Nærøysund,44200.0,43360.0
Oppdal,42420.0,41450.0
Orkland,43350.0,43030.0
Os,40550.0,41420.0
Osen,41390.0,40300.0
Oslo,49660.0,50420.0
Osterøy,43890.0,43430.0
Overhalla,43880.0,43430.0
Porsanger,43840.0,43590.0
Porsgrunn,45930.0,46430.0
Røyrvik,44550.0,44470.0
Rakkestad,41570.0,40430.0
Rana,44500.0,44170.0
Randaberg,47740.0,44650.0
Rauma,43270.0,41970.0
Rendalen,41880.0,40590.0
Rennebu,42090.0,42800.0
Rindal,43030.0,42860.0
Ringebu,41460.0,40590.0
Ringerike,43680.0,43270.0
Ringsaker,43290.0,42900.0
Risør,44580.0,42350.0
Rollag,40590.0,39400.0
Råde,44170.0,41290.0
Rælingen,47060.0,44060.0
Rødøy,46980.0,47250.0
Røros,41070.0,39360.0
Røst,39850.0,38000.0
Salangen,43820.0,43660.0
Saltdal,44890.0,45340.0
Samnanger,45520.0,42120.0
Sande,43030.0,41280.0
Sandefjord,44180.0,43630.0
Sandnes,47050.0,47590.0
Sarpsborg,43330.0,44000.0
Sauda,45930.0,45380.0
Sel,41670.0,40800.0
Selbu,42710.0,40790.0
Seljord,43370.0,41890.0
Senja,43510.0,42620.0
Sigdal,41310.0,39780.0
Siljan,44080.0,39890.0
Sirdal,44650.0,45000.0
Skaun,45860.0,42560.0
Skien,44890.0,43960.0
Skiptvet,42740.0,42120.0
Skjervøy,41170.0,40000.0
Skjåk,39890.0,39500.0
Smøla,43170.0,43180.0
Snåsa,42560.0,41870.0
Sogndal,44950.0,45260.0
Sokndal,45510.0,45000.0
Sola,49720.0,54170.0
Solund,44400.0,44170.0
Sortland,43450.0,42250.0
Stad,43870.0,42910.0
Stange,44430.0,43750.0
Stavanger,49900.0,49730.0
Steigen,44590.0,45000.0
Steinkjer,44590.0,44400.0
Stjørdal,44720.0,44030.0
Stor-Elvdal,42090.0,42000.0
Stord,46320.0,44590.0
Storfjord,43210.0,42710.0
Strand,45480.0,43140.0
Stranda,41480.0,40590.0
Stryn,40760.0,39480.0
Sula,44490.0,43100.0
Suldal,45060.0,44370.0
Sunndal,47080.0,47200.0
Sunnfjord,44780.0,44190.0
Surnadal,43620.0,43360.0
Sveio,45480.0,44170.0
Sykkylven,42720.0,42100.0
Sømna,43010.0,42000.0
Søndre Land,42380.0,41290.0
Sør-Aurdal,42260.0,40590.0
Sør-Fron,41860.0,41200.0
Sør-Odal,43000.0,40730.0
Sør-Varanger,43840.0,44000.0
Sørfold,44910.0,46410.0
Sørreisa,43840.0,42000.0
Time,46470.0,45410.0
Tingvoll,43070.0,40590.0
Tinn,42980.0,42550.0
Tjeldsund,43870.0,43840.0
Tokke,45030.0,45260.0
Tolga,42930.0,41240.0
Tromsø,46150.0,45570.0
Trondheim,47310.0,46810.0
Trysil,40280.0,39990.0
Træna,38270.0,37990.0
Tvedestrand,43740.0,42060.0
Tydal,43840.0,42980.0
Tynset,41950.0,42220.0
Tysnes,45350.0,42990.0
Tysvær,46400.0,44820.0
Tønsberg,45790.0,44980.0
Ullensaker,44570.0,43340.0
Ullensvang,44900.0,43770.0
Ulstein,46850.0,46080.0
Ulvik,44260.0,43660.0
Nesseby,44030.0,44650.0
Vadsø,45890.0,45790.0
Vaksdal,44330.0,44210.0
Valle,43370.0,43370.0
Vang,40890.0,39250.0
Vanylven,46030.0,43710.0
Vardø,42470.0,42000.0
Vefsn,44590.0,43980.0
Vega,43660.0,40840.0
Vegårshei,43550.0,42350.0
Vennesla,43250.0,43030.0
Verdal,43580.0,43850.0
Vestby,47320.0,43920.0
Vestnes,43750.0,38970.0
Vestre Slidre,41370.0,40000.0
Vestre Toten,43240.0,44660.0
Vestvågøy,42690.0,41730.0
Vevelstad,44780.0,45000.0
Vik,43390.0,42370.0
Vindafjord,44370.0,43200.0
Vinje,44330.0,42290.0
Volda,45380.0,44480.0
Voss,43680.0,42330.0
Vågan,43160.0,42720.0
Vågå,41830.0,41000.0
Våler – Innlandet,40590.0,41130.0
Våler – Viken,44170.0,41730.0
