sex,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03,2023M04,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10
Females,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,4.1,4.6,5.0,5.1,5.1,5.2,5.1,4.8,4.5,4.4,4.5,4.7,4.8,5.0,4.8,4.2,3.9,3.4,3.7,3.4,3.2,2.9,2.9,2.9,2.8,2.8,2.9,3.0,3.1,3.2,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.3
Males,4.1,4.0,3.9,3.9,3.9,3.9,4.0,4.0,4.1,4.1,4.2,4.2,4.2,4.3,4.3,4.3,4.2,4.0,4.3,4.8,5.5,5.7,5.8,5.5,5.6,5.5,5.5,5.6,5.3,5.1,5.1,5.1,5.1,4.7,4.5,4.1,3.9,3.8,3.8,3.6,3.6,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.8
