TIME,Denmark,EU27,Norway,OECD,Sweden,United States
1970,1845.0,,1819.1,2031.0,1562.0,1949.0
1971,1810.0,,1798.1,2018.0,1533.0,1936.0
1972,1752.0,,1765.6,2004.0,1497.0,1932.0
1973,1710.0,,1751.5,1997.0,1483.0,1933.0
1974,1691.0,,1730.9,1970.0,1465.0,1901.0
1975,1617.0,,1715.3,1953.0,1444.0,1881.0
1976,1624.0,,1662.9,1956.0,1452.0,1884.0
1977,1598.0,,1627.4,1947.0,1428.0,1886.0
1978,1575.0,,1591.6,1936.0,1391.0,1878.0
1979,1564.0,,1569.4,1930.0,1381.0,1876.0
1980,1577.0,,1569.4,1919.0,1381.0,1859.0
1981,1546.0,,1560.5,1908.0,1373.0,1854.0
1982,1553.0,,1549.4,1900.0,1386.0,1846.0
1983,1546.0,,1542.8,1899.0,1395.0,1867.0
1984,1541.0,,1537.9,1898.0,1397.0,1883.0
1985,1527.0,,1532.0,1893.0,1401.0,1882.0
1986,1531.0,,1528.0,1889.0,1400.0,1875.0
1987,1493.0,,1501.0,1888.0,1408.0,1883.0
1988,1471.0,,1504.0,1888.0,1426.0,1883.0
1989,1455.0,,1501.0,1885.0,1424.0,1895.0
1990,1441.0,,1493.0,1872.0,1422.0,1878.0
1991,1437.0,,1490.0,1861.0,1410.0,1868.0
1992,1452.0,,1500.0,1857.0,1425.0,1867.0
1993,1449.0,,1497.0,1852.0,1441.0,1875.0
1994,1407.0,,1494.0,1859.0,1476.0,1887.0
1995,1419.0,1700.0,1479.0,1852.0,1481.0,1886.0
1996,1412.0,1702.0,1474.0,1857.0,1493.0,1887.0
1997,1428.0,1700.0,1468.0,1857.0,1497.0,1893.0
1998,1441.0,1697.0,1467.0,1848.0,1496.0,1892.0
1999,1456.0,1692.0,1465.0,1848.0,1504.0,1888.0
2000,1466.0,1679.0,1448.0,1838.0,1485.0,1880.0
2001,1469.0,1669.0,1424.0,1825.0,1465.0,1860.0
2002,1463.0,1658.0,1412.0,1823.0,1443.0,1853.0
2003,1458.0,1651.0,1401.0,1815.0,1431.0,1843.0
2004,1458.0,1659.0,1423.0,1814.0,1452.0,1845.0
2005,1451.0,1654.0,1429.0,1824.0,1451.0,1842.0
2006,1456.0,1651.0,1426.0,1825.0,1450.0,1846.0
2007,1433.0,1652.0,1438.0,1822.0,1461.0,1842.0
2008,1430.0,1650.0,1443.0,1816.0,1471.0,1829.0
2009,1417.0,1628.0,1422.0,1790.0,1457.0,1799.0
2010,1422.0,1633.0,1430.0,1797.0,1483.0,1810.0
2011,1437.0,1632.0,1435.0,1798.0,1484.0,1819.0
2012,1423.0,1615.0,1431.0,1797.0,1471.0,1826.0
2013,1426.0,1606.0,1421.0,1792.0,1463.0,1824.0
2014,1414.0,1605.0,1424.0,1791.0,1464.0,1829.0
2015,1407.0,1605.0,1427.0,1790.0,1465.0,1830.0
2016,1412.0,1609.0,1430.0,1787.0,1478.0,1822.0
2017,1404.0,1600.0,1419.0,1779.0,1466.0,1820.0
2018,1381.0,1598.0,1419.0,1775.0,1465.0,1826.0
2019,1371.0,1593.0,1419.0,1764.0,1453.0,1817.0
2020,1341.0,1506.0,1410.0,1683.0,1426.0,1789.0
2021,1390.0,1560.0,1426.0,1739.0,1447.0,1813.0
2022,1394.0,1571.0,1425.0,1746.0,1440.0,1804.0
2023,1380.0,,1418.0,1742.0,1437.0,1799.0
