alder,Antall,Endring i antall,Endring i prosent
25-39 år,536119,5056,0.9520527696337346
40-54 år,509626,1086,0.21355252290871907
55-66 år,292497,8473,2.983198602934963
67 år eller eldre,44456,2783,6.678184915892785
Alle aldre,1593334,23093,1.4706659678355107
Under 25 år,210636,5695,2.7788485466548907
