yrke,Gjennomsnitt,Median,Forskjell i kr,Forskjell i pst
Administrerende direktører,100300.0,79700.0,20600.0,20.538384845463607
Advokatsekretær,51120.0,50550.0,570.0,1.1150234741784038
Agroteknikere,55210.0,53370.0,1840.0,3.3327295779750044
Allmennpraktiserende leger,84130.0,74210.0,9920.0,11.791275407108047
Altmuligmann,42220.0,41240.0,980.0,2.3211747986736144
Ambulansepersonell,53280.0,54600.0,-1320.0,-2.4774774774774775
Andre administrative ledere,81970.0,73380.0,8590.0,10.479443698914237
Andre bygningsarbeidere,43170.0,41460.0,1710.0,3.9610840861709518
Andre daglige ledere i tjenesteytende virksomheter,58320.0,51070.0,7250.0,12.431412894375857
Andre helseyrker,49920.0,48160.0,1760.0,3.5256410256410255
Andre hjelpearbeidere,35910.0,35110.0,800.0,2.227791701475912
Andre hjelpearbeidere i industri,45710.0,42790.0,2920.0,6.3880988842704
Andre håndverkere,36850.0,38040.0,-1190.0,-3.229308005427409
Andre ingeniører,66150.0,62710.0,3440.0,5.200302343159486
Andre juridiske yrker,75530.0,65680.0,9850.0,13.0411756917781
Andre kunsthåndverkere,42980.0,41410.0,1570.0,3.6528617961842715
Andre ledere av produksjon og tjenesteyting,85400.0,78690.0,6710.0,7.857142857142857
Andre lærere,57970.0,53930.0,4040.0,6.969121959634293
Andre musikklærere,53240.0,53480.0,-240.0,-0.4507888805409466
Andre opplysningsmedarbeidere,48440.0,47130.0,1310.0,2.704376548307184
Andre personlige tjenesteytere,37370.0,34010.0,3360.0,8.991169387208991
Andre pleiemedarbeidere,41270.0,40950.0,320.0,0.7753816331475648
Andre programvare- og applikasjonsutviklere,71190.0,67000.0,4190.0,5.885658098047478
Andre salgsmedarbeidere,43970.0,42840.0,1130.0,2.569934045940414
Andre sikkerhetsarbeidere,40480.0,40300.0,180.0,0.4446640316205534
Andre sivilingeniører (unntatt elektroteknologi),79170.0,72920.0,6250.0,7.894404446128584
Andre utøvende kunstneriske yrker,57230.0,55740.0,1490.0,2.6035296173335665
Andre yrker innen estetiske fag,52460.0,49850.0,2610.0,4.975219214639726
Andre yrker innen offentlig forvaltning,50790.0,48740.0,2050.0,4.036227603859027
Anleggsmaskin- og industrimekanikere,49710.0,48790.0,920.0,1.850734258700463
Anleggsmaskinførere,48140.0,47090.0,1050.0,2.181138346489406
Applikasjonsprogrammerere,69750.0,66890.0,2860.0,4.100358422939069
Arbeidsformidlere,56010.0,49170.0,6840.0,12.212104981253349
"Arbeidsleder, bergfag",66520.0,65220.0,1300.0,1.9542994588093807
"Arbeidsleder, bygg og anlegg",62550.0,60310.0,2240.0,3.5811350919264586
"Arbeidsleder, industri",56700.0,54840.0,1860.0,3.28042328042328
Arbeidsledere for kontorpersonell,68670.0,62920.0,5750.0,8.373379933012961
Arealplanleggere,65080.0,61460.0,3620.0,5.5623847572218805
Arkivarer og kuratorer,53650.0,52950.0,700.0,1.30475302889096
Arkivassistenter,49950.0,48630.0,1320.0,2.6426426426426426
Audiografer og logopeder,51790.0,49680.0,2110.0,4.0741455879513415
Automatikere,54570.0,53610.0,960.0,1.7592083562396923
"Bakere, konditorer mv.",40430.0,40000.0,430.0,1.0635666584219639
Barnehage- og skolefritidsassistenter mv.,37800.0,38340.0,-540.0,-1.4285714285714286
Bartendere,36980.0,35910.0,1070.0,2.893455922120065
Befal med sersjant grad,74550.0,70460.0,4090.0,5.486250838363514
Begravelsesbyrå- og krematoriearbeidere,51260.0,50000.0,1260.0,2.458056964494733
Bergfagarbeidere,51750.0,49570.0,2180.0,4.21256038647343
Betongarbeidere,48950.0,48380.0,570.0,1.1644535240040859
Bibliotekarer og andre informasjonsarbeidere,50190.0,49400.0,790.0,1.5740187288304441
"Bil-, drosje- og varebilførere",40070.0,39060.0,1010.0,2.5205889693037187
Billettselgere,43340.0,45390.0,-2050.0,-4.730041532071989
Bilmekanikere,43870.0,44510.0,-640.0,-1.4588557100524278
Bilvaskere,38680.0,37350.0,1330.0,3.4384694932781796
"Bingoverter, bookmakere mv.",38720.0,34930.0,3790.0,9.788223140495868
Bioingeniører,52110.0,51630.0,480.0,0.9211283822682788
"Biologer, botanikere, zoologer mv.",66200.0,63600.0,2600.0,3.927492447129909
Bioteknikere (ikke-medisinske laboratorier),49050.0,47400.0,1650.0,3.3639143730886847
Brannkonstabler,58180.0,57260.0,920.0,1.581299415606738
"Brukerstøtte, IKT",55920.0,52010.0,3910.0,6.992131616595136
Bud mv.,42010.0,40820.0,1190.0,2.8326588907403
Bussjåfører og trikkeførere,43360.0,43270.0,90.0,0.20756457564575648
Butikkavdelingssjefer,46770.0,43940.0,2830.0,6.050887320932222
Butikkmedarbeidere,40910.0,39590.0,1320.0,3.226594964556343
Bygningsingeniører,64830.0,61080.0,3750.0,5.784359093012494
Databasedesignere og -administratorer,71990.0,68220.0,3770.0,5.236838449784692
Dataregistrere,57180.0,53600.0,3580.0,6.260930395243092
Dekks- og maskinmannskap (skip),51470.0,53420.0,-1950.0,-3.7886147270254513
Dekksoffiserer og loser,76610.0,73690.0,2920.0,3.8115128573293307
Desinfeksjonsarbeidere og skadedyrbekjempere,44370.0,42920.0,1450.0,3.2679738562091507
"Dirigenter, komponister, musikere og sangere",57420.0,58650.0,-1230.0,-2.1421107628004177
Dommere,96840.0,107080.0,-10240.0,-10.574142916150352
"Driftsteknikere, IKT",63060.0,59400.0,3660.0,5.803996194100856
Dyrepassere og - trenere mv.,35820.0,34080.0,1740.0,4.857621440536013
Dyrepleiere,40310.0,39150.0,1160.0,2.877697841726619
Dørselgere,52610.0,49430.0,3180.0,6.044478236076792
Egg- og fjærfeprodusenter,41500.0,41170.0,330.0,0.7951807228915663
Eiendomsmeglere og - forvaltere,76130.0,66670.0,9460.0,12.426113227374229
Elektrikere,48650.0,49360.0,-710.0,-1.4594039054470709
Elektronikkingeniører,68120.0,64530.0,3590.0,5.270111567821491
Elkraftingeniører,68850.0,66020.0,2830.0,4.11038489469862
Energikontrolloperatører,68770.0,63310.0,5460.0,7.9395085066162565
Energimontører,48900.0,52610.0,-3710.0,-7.586912065439673
Ergoterapeuter,48640.0,48580.0,60.0,0.12335526315789473
Ernæringsfysiologer,59340.0,56240.0,3100.0,5.224132119986518
Farmasøyter,60310.0,57450.0,2860.0,4.742165478361797
"Feiere, fasaderenholdere mv.",44930.0,44440.0,490.0,1.0905853549966613
Fengselsbetjenter,48670.0,49800.0,-1130.0,-2.3217587836449556
Finans- og investeringsrådgivere,77490.0,68770.0,8720.0,11.253064911601497
Finans- og økonomisjefer,107120.0,92190.0,14930.0,13.93764002987304
Finansanalytikere,75000.0,68220.0,6780.0,9.04
Finansmeglere,103430.0,78540.0,24890.0,24.06458474330465
Fiskere,47240.0,45000.0,2240.0,4.741744284504657
Flygere,104310.0,110840.0,-6530.0,-6.260185984085897
"Flyverter, båtverter mv.",39250.0,35930.0,3320.0,8.45859872611465
Forfattere mv.,65380.0,61500.0,3880.0,5.934536555521566
Forsikrings- og finansmedarbeidere,52090.0,50200.0,1890.0,3.6283355730466504
Forsikringsagenter,68750.0,60830.0,7920.0,11.52
Forsknings- og utviklingsledere,96020.0,89550.0,6470.0,6.738179545927932
Fotografer og filmfotografer,54430.0,52190.0,2240.0,4.115377549145692
Frisører,37590.0,36050.0,1540.0,4.0968342644320295
Fyrkjele- og turbinoperatører,51360.0,50110.0,1250.0,2.4338006230529596
Fysikere og astronomer,72040.0,68050.0,3990.0,5.538589672404219
Fysioterapeuter,50370.0,49920.0,450.0,0.8933889219773675
Førskole-/barnehagelærere,47690.0,48760.0,-1070.0,-2.243656951142797
Førtrykkere,45370.0,44000.0,1370.0,3.0196164866651976
Gartnere,39530.0,40160.0,-630.0,-1.5937262838350619
Gatekjøkken- og kafémedarbeidere mv.,34120.0,33770.0,350.0,1.0257913247362251
Geistlige yrker,60690.0,61520.0,-830.0,-1.3676058658757622
Geologer og geofysikere,101330.0,88270.0,13060.0,12.888581861245434
Gjenvinningsarbeidere,40590.0,40170.0,420.0,1.0347376201034737
Glassarbeidere,44500.0,43140.0,1360.0,3.0561797752808992
Grafiske- og multimediadesignere,58550.0,55200.0,3350.0,5.721605465414176
Grunnskolelærere,53580.0,53720.0,-140.0,-0.2612915266890631
"Gull- og sølvsmeder, gravører mv.",45350.0,44000.0,1350.0,2.9768467475192946
Gulv- og flisleggere,46230.0,44480.0,1750.0,3.7854207224745835
Handels- og skipsmeglere,124810.0,90770.0,34040.0,27.273455652591938
Havbruksarbeidere,53600.0,53910.0,-310.0,-0.5783582089552238
Helse- og miljøkontrollører,69520.0,61440.0,8080.0,11.622554660529344
Helsefagarbeidere,44510.0,46500.0,-1990.0,-4.4709054145135925
Helsesekretærer,41810.0,42080.0,-270.0,-0.6457785218847166
Hjelpearbeidere i anlegg,44550.0,43950.0,600.0,1.3468013468013467
Hjelpearbeidere i bygg,40610.0,40060.0,550.0,1.354346220142822
Hjelpearbeidere i gartneri mv.,38230.0,39080.0,-850.0,-2.2233847763536487
Hjelpearbeidere i husdyrproduksjon,32220.0,30000.0,2220.0,6.890130353817504
Hjelpearbeidere i kombinasjonsbruk,34160.0,31820.0,2340.0,6.850117096018736
Hjelpearbeidere i nyttevekstproduksjon,38060.0,27600.0,10460.0,27.48292170257488
Hjelpearbeidere innen havbruk,41510.0,39770.0,1740.0,4.191761021440617
Hjemmehjelper,40450.0,39180.0,1270.0,3.1396786155747836
Hotellresepsjonister,37000.0,36530.0,470.0,1.2702702702702704
Hotellsjefer,55330.0,50000.0,5330.0,9.633110428339057
Husholdere,47570.0,46840.0,730.0,1.5345806180365775
Håndpakkere mv.,42580.0,40200.0,2380.0,5.589478628464067
Høyere saksbehandlere i offentlig og privat virksomhet,59760.0,56780.0,2980.0,4.9866131191432395
Idrettsutøvere,71420.0,49550.0,21870.0,30.621674600952115
Industrisyere,39360.0,39080.0,280.0,0.7113821138211381
Informasjonsrådgivere,63300.0,59130.0,4170.0,6.587677725118484
Informasjonsskrankemedarbeidere,48180.0,47510.0,670.0,1.3906185139061853
"Ingeniører innen petroleum, bergverk og metallurgi",85700.0,77130.0,8570.0,10.0
Inkassomedarbeidere mv.,46140.0,44090.0,2050.0,4.442999566536628
Innbindere mv.,40410.0,39210.0,1200.0,2.969561989606533
Innehavere av kiosk/liten butikk,45500.0,42360.0,3140.0,6.9010989010989015
Innkjøpere,62850.0,58360.0,4490.0,7.143993635640414
Interiørdesignere og dekoratører,49650.0,45700.0,3950.0,7.955689828801611
Internett-teknikere,60780.0,57750.0,3030.0,4.985192497532083
Intervjuere,30980.0,28480.0,2500.0,8.069722401549386
Isolatører mv.,43320.0,41850.0,1470.0,3.393351800554017
Jordbruks- og skogbruksmaskinførere,43230.0,41900.0,1330.0,3.0765671987046033
Jordmødre,63880.0,63590.0,290.0,0.4539762053850971
Journalister,62130.0,59790.0,2340.0,3.766296475132786
Jurister og advokater,81990.0,74400.0,7590.0,9.257226491035492
Kiropraktorer mv.,61350.0,61200.0,150.0,0.24449877750611246
Kjemiingeniører,64740.0,61060.0,3680.0,5.684275563793636
Kjemikere,74900.0,70310.0,4590.0,6.1281708945260345
Kjøkkenassistenter,35500.0,35130.0,370.0,1.0422535211267605
Kjøreskolelærere,55160.0,52590.0,2570.0,4.659173313995649
Kokker,40780.0,38930.0,1850.0,4.536537518391368
Konduktører,58800.0,59610.0,-810.0,-1.3775510204081634
Konferanse- og arrangementsplanleggere mv.,59540.0,52230.0,7310.0,12.27746053073564
Kontormedarbeidere,48300.0,45990.0,2310.0,4.782608695652174
Kontrolloperatører innen kjemisk prosessindustri,60530.0,58970.0,1560.0,2.577234429208657
Kontrolloperatører innen metallproduksjon,54230.0,53110.0,1120.0,2.065277521666974
Kontrolloperatører ved olje- og naturgassraffineringsanlegg,75630.0,70500.0,5130.0,6.783022610075366
Kopper- og blikkenslagere,45520.0,45660.0,-140.0,-0.30755711775043937
Koreografer og dansere,47560.0,48240.0,-680.0,-1.4297729184188395
Kosmetologer mv.,39740.0,37400.0,2340.0,5.888273779567187
Kran- og heisførere mv.,51940.0,49410.0,2530.0,4.871005005775896
Kuldemontører mv.,50410.0,51660.0,-1250.0,-2.479666732791113
Kundebehandlere lån og kreditt,65330.0,57790.0,7540.0,11.541405173733352
"Kundebehandlere, bank og postkontor",43500.0,43090.0,410.0,0.942528735632184
Kundesentermedarbeidere,46140.0,43380.0,2760.0,5.981794538361508
Lagermedarbeidere og material-forvaltere,46030.0,44390.0,1640.0,3.5628937649359114
"Landmålere, kartografer mv.",59790.0,57950.0,1840.0,3.0774376986118077
Landskapsarkitekter,68590.0,66570.0,2020.0,2.9450357194926373
Laste- og lossearbeidere,44890.0,44570.0,320.0,0.7128536422365783
Lastebil- og trailersjåfører,44340.0,43020.0,1320.0,2.9769959404600814
Ledere av IKT-enheter,96730.0,88890.0,7840.0,8.105034632482166
Ledere av bygge- og anleggsvirksomhet,75080.0,67660.0,7420.0,9.88279168886521
Ledere av eldreomsorg,69750.0,68330.0,1420.0,2.03584229390681
Ledere av forsikring og finansvirksomhet,114970.0,98900.0,16070.0,13.977559363312169
Ledere av helsetjenester,74490.0,66080.0,8410.0,11.29010605450396
Ledere av industriproduksjon mv.,85130.0,75890.0,9240.0,10.853988018324914
Ledere av logistikk og transport mv.,78530.0,70870.0,7660.0,9.754234050681267
Ledere av olje- og gassutvinning mv.,126160.0,111670.0,14490.0,11.485415345592898
Ledere av omsorgstjenester for barn,63540.0,62500.0,1040.0,1.6367642429965377
Ledere av sosialomsorg,66400.0,61250.0,5150.0,7.756024096385543
Ledere av utdanning og undervisning,71380.0,69700.0,1680.0,2.353600448304847
"Ledere i skogbruk, gartnerier mv.",70400.0,62500.0,7900.0,11.221590909090908
Ledere innen akvakultur mv.,84570.0,79230.0,5340.0,6.314295849592054
Legespesialister,102840.0,100360.0,2480.0,2.411513029949436
Lektorer mv. (videregående skole),57340.0,57170.0,170.0,0.2964771538193233
Logistikkmedarbeidere,52640.0,50250.0,2390.0,4.5402735562310035
Lokomotiv og T-baneførere,65000.0,67350.0,-2350.0,-3.6153846153846154
Lønningsmedarbeidere,52880.0,51750.0,1130.0,2.136913767019667
Malere og byggtapetserere,43340.0,42220.0,1120.0,2.5842178126442086
Maskiningeniører,62740.0,59840.0,2900.0,4.622250557857826
"Matematikere, statistikere mv.",64540.0,59830.0,4710.0,7.297799814068795
Mekanikere innen flytekniske fag,64890.0,59790.0,5100.0,7.85945446139621
Melke- og husdyrprodusenter,36840.0,35960.0,880.0,2.3887079261672097
Metalldreiere mv.,44820.0,45110.0,-290.0,-0.6470325747434181
Meteorologer,59160.0,58190.0,970.0,1.6396213657876944
Miljøarbeidere innen sosiale fagfelt,49100.0,48460.0,640.0,1.3034623217922607
Miljøvernrådgivere,67100.0,60330.0,6770.0,10.089418777943369
Montører av elektriske og elektroniske produkter,46220.0,44730.0,1490.0,3.223712678494158
Montører av mekaniske produkter,45770.0,43370.0,2400.0,5.243609351103343
Murere,45580.0,44650.0,930.0,2.0403685827117157
Møbelsnekkere,42410.0,41040.0,1370.0,3.2303701957085593
Møbeltapetserere mv.,43830.0,44050.0,-220.0,-0.5019393109742185
Nett- og multimediautviklere,63080.0,58330.0,4750.0,7.530120481927711
"Nettverks- og systemteknikere, IKT",68360.0,67000.0,1360.0,1.989467524868344
Offiserer fra fenrik og høyere grad,82710.0,77330.0,5380.0,6.504654818038931
Operatører innen boring mv.,72090.0,72030.0,60.0,0.08322929671244278
