år,"Årslønn, påløpt (1 000 kr)","Årslønn, påløpt. Endring fra året før i prosent",Reallønn. Endring fra året før i prosent
2000,278.7,4.5,1.3677945552738713
2001,293.5,5.3,2.2101563013187997
2002,309.4,5.4,4.076919387207223
2003,323.3,4.5,1.991414405369385
2004,334.6,3.5,3.038474863014873
2005,345.7,3.3,1.701657074100149
2006,359.9,4.1,1.8078645055197962
2007,379.3,5.4,4.59062780695596
2008,403.2,6.3,2.4151762738791716
2009,420.2,4.2,2.0606429392228787
2010,435.7,3.7,1.19310606306966
2011,453.8,4.2,2.876268496784662
2012,472.0,4.0,3.219020441621656
2013,490.6,3.9,1.7720200055571178
2014,505.6,3.1,1.0249371902504745
2015,519.8,2.8,0.675892097209374
2016,528.9,1.7,-1.7628167654792803
2017,541.0,2.3,0.4456177042758247
2018,556.3,2.8,0.0771599675331025
2019,575.7,3.5,1.245724231335088
2020,593.5,3.1,1.8055365908107524
