alder,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03
15-24 år,11.4,11.1,11.4,11.3,11.1,10.7,10.3,10.2,10.0,9.8,9.3,8.6,9.1,9.1,9.8,9.9,10.1,9.7,9.9,10.2,10.2,9.9,10.4,10.3,9.7,9.3,9.4,10.0,10.1,9.7,10.0,9.9,10.3,10.1,10.3,10.1,10.0,10.2,11.8,12.8,13.3,12.8,12.9,11.8,11.5,10.3,11.4,11.0,11.8,11.9,12.1,12.4,10.9,10.9,9.7,9.8,9.5,9.1,8.8,8.2,7.2
25-74 år,3.4,3.5,3.4,3.3,3.1,3.0,3.0,3.0,3.1,3.2,3.2,3.2,3.2,3.0,3.0,2.9,3.0,3.1,3.0,3.0,2.7,2.7,2.8,2.8,2.7,2.4,2.5,2.6,2.9,2.8,2.9,2.9,3.0,2.9,2.7,2.6,2.6,3.1,3.5,4.0,4.0,4.1,4.0,4.2,4.1,4.1,3.9,3.9,3.8,3.9,3.9,3.7,3.3,3.0,2.7,2.7,2.6,2.4,2.3,2.3,2.3
