,Faktisk utvikling,SSB,Norges Bank,FIN,NAV,LO,NHO,DNB,Danske Bank,Handelsbanken,Konsensus
2017,1.1,,,,,,,,,,
2018,1.6,,,,,,,,,,
2019,1.6,,,,,,,,,,
2020,-1.5,,,,,,,,,,
2021,1.1,,,,,,,,,,
2022,3.9,,,,,,,,,,
2023,1.3,,,,,,,,,,
2024,0.31666666666666665,0.2,0.4,0.5,0.3,0.0,0.3,0.4,-0.1,0.5,0.31666666666666665
2025,0.3333333333333333,0.6,0.4,0.5,0.2,-0.2,0.4,0.5,0.4,0.5,0.3333333333333333
2026,0.625,0.9,0.6,,,0.4,1.0,0.7,,0.6,0.625
2027,0.8,0.6,1.0,,,,,0.9,,,0.8
