Time,Austria,Belgium,Denmark,Estonia,European Union - 27 countries (from 2020),Finland,France,Germany,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland
2024-Q1,8.1,10.3,12.1,3.1,12.7,13.6,14.9,11.5,9.5,7.3,14.7,9.6,26.5,8.5,15.2,16.3,15.7,12.5,13.2
2024-Q2,8.2,10.0,12.5,4.4,13.0,16.9,15.8,11.2,12.0,7.2,15.2,8.6,26.4,9.0,15.0,16.0,15.9,13.9,12.9
