alder,Antall,Endring i antall,Endring i prosent
25-39 år,1015406,65264,6.868868021832526
40-54 år,982129,35606,3.7617680711403736
55-66 år,543041,24219,4.668074985255059
67 år eller eldre,68038,7597,12.569282440727319
Alle aldre,3037853,195350,6.872464162746706
Under 25 år,429239,62664,17.09445543203983
