Time,Austria,Belgium,Denmark,Estonia,European Union - 27 countries (from 2020),Finland,France,Germany,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland
2023-Q3,61.4,54.6,65.2,66.2,56.3,62.9,56.0,63.7,73.8,63.5,45.0,60.3,69.0,67.4,55.6,60.7,52.9,66.8,68.1
2023-Q4,61.1,54.9,65.3,67.1,56.6,63.0,56.4,63.9,73.2,63.1,45.4,60.5,69.1,67.3,55.9,60.8,53.1,66.8,68.1
