region,Arbeider i regionen,Bor i regionen
Nord-Odal,43470.0,44010.0
Nordkapp,43280.0,44180.0
Nordre Follo,47320.0,52610.0
Nordre Land,40690.0,42500.0
Nordreisa,44670.0,45260.0
Nore og Uvdal,42090.0,42350.0
Notodden,44290.0,45350.0
Nærøysund,44620.0,45920.0
Oppdal,43000.0,44060.0
Orkland,44050.0,44550.0
Os,42130.0,40780.0
Osen,41250.0,43030.0
Oslo,52420.0,51280.0
Osterøy,44630.0,45000.0
Overhalla,44130.0,45000.0
Porsanger,44490.0,44980.0
Porsgrunn,48260.0,47630.0
Rakkestad,40960.0,42560.0
Rana,45110.0,45530.0
Randaberg,46320.0,50000.0
Rauma,43210.0,44330.0
Rendalen,40770.0,42750.0
Rennebu,44820.0,43860.0
Rindal,43470.0,43910.0
Ringebu,41410.0,42390.0
Ringerike,44490.0,44970.0
Ringsaker,43850.0,44450.0
Risør,43460.0,45910.0
Rollag,39290.0,41500.0
Råde,41940.0,45510.0
Rælingen,45440.0,48790.0
Rødøy,49870.0,49830.0
Røros,40020.0,42000.0
Røst,37920.0,40280.0
Salangen,44660.0,45230.0
Saltdal,47020.0,46430.0
Samnanger,43350.0,47350.0
Sande,41900.0,44250.0
Sandefjord,44930.0,45880.0
Sandnes,49710.0,48960.0
Sarpsborg,45000.0,44490.0
Sauda,46690.0,47740.0
Sel,41800.0,42980.0
Selbu,41390.0,43660.0
Seljord,43330.0,45470.0
Senja,44010.0,45000.0
Sigdal,39930.0,42400.0
Siljan,43320.0,45370.0
Sirdal,46720.0,46600.0
Skaun,43840.0,47210.0
Skien,45000.0,46090.0
Skiptvet,43620.0,44060.0
Skjervøy,40330.0,42290.0
Skjåk,39730.0,40000.0
Smøla,45260.0,45580.0
Snåsa,43460.0,44010.0
Sogndal,46700.0,46420.0
Sokndal,46590.0,47090.0
Sola,55220.0,51620.0
Solund,45000.0,46220.0
Sortland,43590.0,44820.0
Stad,43680.0,45000.0
Stange,45050.0,45750.0
Stavanger,51990.0,52060.0
Steigen,46670.0,46090.0
Steinkjer,46130.0,46190.0
Stjørdal,45420.0,45950.0
Stor-Elvdal,43080.0,43350.0
Stord,45720.0,48190.0
Storfjord,43590.0,44190.0
Strand,44260.0,47150.0
Stranda,41110.0,41960.0
Stryn,40000.0,41760.0
Sula,44180.0,45760.0
Suldal,45980.0,47780.0
Sunndal,49430.0,49760.0
Sunnfjord,45440.0,46260.0
Surnadal,44540.0,44950.0
Sveio,45670.0,47360.0
Sykkylven,42750.0,43300.0
Sømna,43880.0,45000.0
Søndre Land,42510.0,43310.0
Sør-Aurdal,41240.0,43520.0
Sør-Fron,42190.0,43230.0
Sør-Odal,41590.0,44420.0
Sør-Varanger,45280.0,45330.0
Sørfold,47510.0,46920.0
Sørreisa,43320.0,45000.0
Time,47220.0,48060.0
Tingvoll,41300.0,45140.0
Tinn,43840.0,44360.0
Tjeldsund,44710.0,45000.0
Tokke,46630.0,46310.0
Tolga,41500.0,44110.0
Tromsø,46980.0,47610.0
Trondheim,48320.0,48790.0
Trysil,40800.0,41330.0
Træna,37990.0,38970.0
Tvedestrand,43500.0,45300.0
Tydal,45020.0,45530.0
Tynset,42920.0,42900.0
Tysnes,44800.0,47800.0
Tysvær,46600.0,48350.0
Tønsberg,46440.0,47430.0
Ullensaker,44870.0,46130.0
Ullensvang,45150.0,46550.0
Ulstein,48070.0,49060.0
Ulvik,43810.0,45680.0
Nesseby,47090.0,45630.0
Vadsø,46490.0,46760.0
Vaksdal,45950.0,46230.0
Valle,43900.0,43860.0
Vang,39620.0,42710.0
Vanylven,45060.0,47830.0
Vardø,43380.0,43890.0
Vefsn,45220.0,46150.0
Vega,43580.0,46590.0
Vegårshei,43060.0,44340.0
Vennesla,44170.0,44490.0
Verdal,44980.0,44760.0
Vestby,45530.0,48910.0
Vestnes,40000.0,45130.0
Vestre Slidre,40590.0,42720.0
Vestre Toten,45510.0,44370.0
Vestvågøy,42540.0,43970.0
Vik,43750.0,45040.0
Vindafjord,44200.0,46170.0
Vinje,43100.0,45400.0
Volda,46050.0,47320.0
Voss,43390.0,45230.0
Vågan,44000.0,44600.0
Vågå,42180.0,43000.0
Våler – Innlandet,41770.0,41580.0
Våler – Viken,42810.0,45190.0
Værøy,44010.0,44170.0
Åfjord,44990.0,45060.0
Ål,44620.0,45000.0
Ålesund,45910.0,46930.0
Åmli,40560.0,43680.0
Åmot,43770.0,43790.0
Årdal,49440.0,49570.0
Ås,47930.0,50000.0
Åseral,44550.0,44450.0
Åsnes,41580.0,42290.0
Øksnes,42910.0,44430.0
Ørland,46890.0,47340.0
Ørsta,44130.0,45160.0
Østre Toten,40000.0,43680.0
Øvre Eiker,42880.0,45910.0
Øyer,40830.0,43330.0
Øygarden,46440.0,47710.0
Øystre Slidre,40910.0,41690.0
