yrke,Gjennomsnitt,Median,Nedre kvartil,Øvre kvartil
Administrerende direktører,100300.0,79700.0,59430.0,117020.0
Advokatsekretær,51120.0,50550.0,44940.0,56390.0
Agroteknikere,55210.0,53370.0,46090.0,60970.0
Allmennpraktiserende leger,84130.0,74210.0,59830.0,102360.0
Altmuligmann,42220.0,41240.0,35720.0,46670.0
Ambulansepersonell,53280.0,54600.0,48810.0,58850.0
Andre administrative ledere,81970.0,73380.0,61870.0,92470.0
Andre bygningsarbeidere,43170.0,41460.0,38260.0,47040.0
Andre daglige ledere i tjenesteytende virksomheter,58320.0,51070.0,43000.0,64250.0
Andre helseyrker,49920.0,48160.0,44270.0,55700.0
Andre hjelpearbeidere,35910.0,35110.0,25520.0,43210.0
Andre hjelpearbeidere i industri,45710.0,42790.0,38080.0,51700.0
Andre håndverkere,36850.0,38040.0,33280.0,40590.0
Andre ingeniører,66150.0,62710.0,53140.0,74780.0
Andre juridiske yrker,75530.0,65680.0,54830.0,90870.0
Andre kunsthåndverkere,42980.0,41410.0,38370.0,43890.0
Andre ledere av produksjon og tjenesteyting,85400.0,78690.0,64580.0,98430.0
Andre lærere,57970.0,53930.0,47430.0,62500.0
Andre musikklærere,53240.0,53480.0,48790.0,58190.0
Andre opplysningsmedarbeidere,48440.0,47130.0,38690.0,55000.0
Andre personlige tjenesteytere,37370.0,34010.0,27600.0,41550.0
Andre pleiemedarbeidere,41270.0,40950.0,36900.0,45160.0
Andre programvare- og applikasjonsutviklere,71190.0,67000.0,54170.0,83080.0
Andre salgsmedarbeidere,43970.0,42840.0,36710.0,49770.0
Andre sikkerhetsarbeidere,40480.0,40300.0,35490.0,44770.0
Andre sivilingeniører (unntatt elektroteknologi),79170.0,72920.0,61050.0,89430.0
Andre utøvende kunstneriske yrker,57230.0,55740.0,35000.0,70830.0
Andre yrker innen estetiske fag,52460.0,49850.0,46170.0,57480.0
Andre yrker innen offentlig forvaltning,50790.0,48740.0,45080.0,54170.0
Anleggsmaskin- og industrimekanikere,49710.0,48790.0,42970.0,56260.0
Anleggsmaskinførere,48140.0,47090.0,42690.0,52500.0
Applikasjonsprogrammerere,69750.0,66890.0,57630.0,77500.0
Arbeidsformidlere,56010.0,49170.0,43600.0,61660.0
"Arbeidsleder, bergfag",66520.0,65220.0,56830.0,75410.0
"Arbeidsleder, bygg og anlegg",62550.0,60310.0,52810.0,70380.0
"Arbeidsleder, industri",56700.0,54840.0,49130.0,62150.0
Arbeidsledere for kontorpersonell,68670.0,62920.0,54080.0,76760.0
Arealplanleggere,65080.0,61460.0,55000.0,71510.0
Arkivarer og kuratorer,53650.0,52950.0,47600.0,58940.0
Arkivassistenter,49950.0,48630.0,44320.0,53800.0
Audiografer og logopeder,51790.0,49680.0,47030.0,55830.0
Automatikere,54570.0,53610.0,43990.0,67630.0
"Bakere, konditorer mv.",40430.0,40000.0,36080.0,45770.0
Barnehage- og skolefritidsassistenter mv.,37800.0,38340.0,34830.0,41190.0
Bartendere,36980.0,35910.0,32480.0,40000.0
Befal med sersjant grad,74550.0,70460.0,58940.0,86000.0
