Landsforening,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Akademikerne i alt,,,,,,,,,,,,,,,,154586.0,159554.0,164519.0,172730.0,180000.0
Andre fagforeiningar i alt,,,,,,,,,,,,,,,,98592.0,91630.0,89776.0,95711.0,95567.0
Landsorganisasjonen i Norge (LO) i alt,,,,,,,,,,,,,,,,588845.0,592624.0,598512.0,609346.0,615004.0
UNIO Hovedorganisasjon for universitets- og høyskoleutdannede,,,,,,,,,,,,,,,,255545.0,259779.0,264215.0,268175.0,271733.0
Yrkesorganisasjonenes Sentralforbund i alt,,,,,,,,,,,,,,,,149411.0,150256.0,151116.0,153576.0,152336.0
