,2024,2025,2026,2027,Dato
NAV,2.0,2.2,,,19.03.2024
Norges Bank,2.0,2.2,2.3,2.2,21.03.2024
FIN,2.0,2.1,,,14.05.2024
NHO,2.5,2.5,2.4,,11.03.2024
DNB,2.4,2.8,2.8,2.8,25.01.2024
Danske Bank,2.3,2.5,,,05.03.2024
Handelsbanken,2.0,2.2,2.2,,22.05.2024
Nordea,2.0,2.0,,,24.04.2024
Konsensus,2.08,2.2,2.3,2.2,
