år,Forskjell gjennomsnitt,Forskjell gjennomsnittHeltid,Forskjell median,Forskjell medianHeltid
2018,87.47947454844007,89.08908908908909,93.78202142524454,94.87063095778484
2019,87.77006937561943,89.38104448742746,94.27609427609428,95.63213345039509
2020,87.52663180321518,89.28976199471099,93.70337867485739,95.18613607188703
2021,87.86073356916775,89.6395580510777,94.10023260731656,95.39852095316351
2022,87.60888888888888,89.46913366764655,93.51833097022482,95.51854055125916
