år,Faktisk utvikling,SSB
2015,71.0,71.0
2016,70.4,70.4
2017,69.7,69.7
2018,70.2,70.2
2019,70.5,70.5
2020,70.4,70.4
2021,72.1,72.1
2022,72.4,72.4
2023,73.0,73.0
2024,72.9,72.9
2025,72.9,72.9
