,Faktisk utvikling,SSB,FIN,NAV,IMF,OECD,LO,NHO,DNB,SEB,SØA,Konsensus
2016,4.7,,,,,,,,,,,
2017,4.2,,,,,,,,,,,
2018,3.8,,,,,,,,,,,
2019,3.7,,,,,,,,,,,
2020,4.6,,,,,,,,,,,
2021,4.4,,,,,,,,,,,
2022,3.2,,,,,,,,,,,
2023,3.6,3.6,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
2024,3.97,4.1,3.7,4.0,3.8,3.8,3.9,3.9,4.0,3.9,4.1,3.97
2025,4.05,4.2,3.7,4.1,,3.8,4.2,4.0,4.1,3.7,4.2,4.05
2026,4.03,4.2,,,,,,3.8,4.1,,,4.03
