yrke,Sum alle sektorer,Privat sektor og offentlige eide foretak,Statsforvaltningen,Kommuneforvaltningen
Administrerende direktører,83030.0,82730.0,108930.0,79390.0
Allmennpraktiserende leger,72730.0,74850.0,69330.0,74250.0
Altmuligmann,35100.0,34720.0,36890.0,35280.0
Ambulansepersonell,44780.0,55110.0,44350.0,41620.0
Andre administrative ledere,70550.0,78530.0,73010.0,59950.0
Andre helseyrker,42230.0,41600.0,,43040.0
Andre hjelpearbeidere,32810.0,31660.0,37670.0,35560.0
Andre ingeniører,57350.0,58690.0,50080.0,51110.0
Andre juridiske yrker,60740.0,63090.0,56350.0,
Andre ledere av produksjon og tjenesteyting,72390.0,76370.0,70610.0,62460.0
Andre lærere,49680.0,50200.0,50940.0,42310.0
Andre musikklærere,45410.0,39500.0,,45840.0
Andre personlige tjenesteytere,40430.0,32690.0,47680.0,32000.0
Andre pleiemedarbeidere,38030.0,36170.0,38110.0,38410.0
Andre programvare- og applikasjonsutviklere,62350.0,63260.0,49140.0,49180.0
Andre sikkerhetsarbeidere,34070.0,32950.0,,35150.0
Andre sivilingeniører (unntatt elektroteknologi),70650.0,73790.0,60350.0,
Andre yrker innen estetiske fag,44950.0,44740.0,45530.0,43590.0
Andre yrker innen offentlig forvaltning,43080.0,46470.0,44890.0,41740.0
Anleggsmaskin- og industrimekanikere,42910.0,43460.0,30430.0,38650.0
Anleggsmaskinførere,42140.0,42570.0,45380.0,39450.0
"Arbeidsleder, bygg og anlegg",54880.0,55710.0,46840.0,44230.0
Arbeidsledere for kontorpersonell,57890.0,58560.0,54190.0,56380.0
Arealplanleggere,55720.0,58400.0,50920.0,51770.0
Arkivarer og kuratorer,46620.0,44840.0,48490.0,46000.0
Arkivassistenter,42170.0,42150.0,42340.0,41590.0
Audiografer og logopeder,44570.0,46980.0,41530.0,47170.0
Barnehage- og skolefritidsassistenter mv.,32980.0,32630.0,41730.0,32920.0
Bibliotekarer og andre informasjonsarbeidere,43480.0,45760.0,43960.0,42840.0
"Bil-, drosje- og varebilførere",34220.0,34010.0,39730.0,37410.0
Billettselgere,38050.0,37630.0,,38920.0
Bilmekanikere,38580.0,38020.0,49020.0,
Bioingeniører,44790.0,46890.0,44220.0,
"Biologer, botanikere, zoologer mv.",59350.0,60850.0,56620.0,
Bioteknikere (ikke-medisinske laboratorier),42590.0,44540.0,38950.0,
Brannkonstabler,49480.0,50330.0,,49380.0
"Brukerstøtte, IKT",47590.0,47700.0,46800.0,
Butikkmedarbeidere,33760.0,33760.0,,32680.0
Bygningsingeniører,56010.0,58670.0,47610.0,52100.0
Dekksoffiserer og loser,66360.0,66370.0,66910.0,
"Dirigenter, komponister, musikere og sangere",48900.0,44550.0,53700.0,46630.0
"Driftsteknikere, IKT",53990.0,56640.0,48130.0,40090.0
Elektrikere,43220.0,43280.0,40480.0,39730.0
Elektronikkingeniører,59080.0,59150.0,55750.0,
Ergoterapeuter,42120.0,43190.0,42960.0,41750.0
Ernæringsfysiologer,51140.0,54220.0,46830.0,
Farmasøyter,53700.0,53750.0,53160.0,
"Feiere, fasaderenholdere mv.",38600.0,37410.0,,38850.0
Finans- og økonomisjefer,89490.0,90800.0,81310.0,64980.0
Finansanalytikere,65610.0,66510.0,52910.0,52240.0
Forfattere mv.,55020.0,53640.0,71120.0,
Forsknings- og utviklingsledere,82880.0,83850.0,78170.0,
Fyrkjele- og turbinoperatører,44330.0,46620.0,,43260.0
Fysikere og astronomer,63460.0,67850.0,53740.0,
Fysioterapeuter,43120.0,46720.0,42360.0,41590.0
Førskolelærere,41620.0,41410.0,40910.0,41790.0
Gartnere,34260.0,33810.0,,36490.0
Geistlige yrker,52150.0,44680.0,56290.0,46470.0
Geologer og geofysikere,85290.0,87740.0,59380.0,
Gjenvinningsarbeidere,35310.0,35490.0,,34850.0
Grunnskolelærere,46460.0,44650.0,,46560.0
Helse- og miljøkontrollører,58930.0,64130.0,47020.0,47960.0
Helsefagarbeidere,40900.0,38690.0,42030.0,41090.0
Helsesekretærer,36430.0,36560.0,35980.0,37110.0
Hjelpearbeidere i anlegg,38470.0,38550.0,,34800.0
Hjelpearbeidere i gartneri mv.,33580.0,32930.0,,35500.0
Hjemmehjelper,36160.0,37300.0,,35240.0
Høyere saksbehandlere i offentlig og privat virksomhet,51490.0,61000.0,50450.0,50200.0
Informasjonsrådgivere,54050.0,55500.0,51650.0,48260.0
