yrke,Antall arbeidsforhold med lønnKvinner,Antall arbeidsforhold med lønnMenn,Kvinner,Menn,Kvinners lønn som andel av menns,Kvinners lønn sammenlignet med menns,Andel kvinner
Selgere (engros),10893.0,28230.0,49580.0,55720.0,88.98061737257717,-6140.0,27.84295682846408
Sentralbordoperatører,482.0,137.0,38530.0,38230.0,100.78472403871305,300.0,77.86752827140549
Serviceelektronikere,155.0,1250.0,45000.0,41730.0,107.83608914450036,3270.0,11.032028469750891
Servicemedarbeidere (bensinstasjon),283.0,366.0,31110.0,35690.0,87.16727374614737,-4580.0,43.6055469953775
Servitører,6265.0,4643.0,30040.0,31430.0,95.57747375119312,-1390.0,57.43491015768244
Sikkerhetsanalytikere mv.,263.0,1407.0,60130.0,65380.0,91.97002141327623,-5250.0,15.748502994011975
Sivilagronomer mv.,177.0,207.0,54230.0,56510.0,95.96531587329676,-2280.0,46.09375
Sivilarkitekter,3054.0,2747.0,60830.0,66670.0,91.2404379781011,-5840.0,52.64609550077572
Sivilingeniører (bygg og anlegg),4340.0,18490.0,60070.0,65000.0,92.41538461538461,-4930.0,19.010074463425315
Sivilingeniører (elektronikk),508.0,3889.0,61690.0,69820.0,88.35577198510455,-8130.0,11.553331817148056
Sivilingeniører (elkraftteknikk),551.0,2714.0,66620.0,70970.0,93.87064957024094,-4350.0,16.875957120980093
"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",3106.0,8619.0,77660.0,83590.0,92.90584998205527,-5930.0,26.49040511727079
Sivilingeniører (industri og produksjon),177.0,855.0,54910.0,56790.0,96.6895580207783,-1880.0,17.151162790697676
Sivilingeniører (kjemi),319.0,357.0,56570.0,67290.0,84.06895526824194,-10720.0,47.18934911242604
Sivilingeniører (maskin- og marin-teknikk),488.0,2954.0,64510.0,71030.0,90.8207799521329,-6520.0,14.177803602556653
Sivilingeniører (miljøteknikk),137.0,118.0,57510.0,66040.0,87.08358570563294,-8530.0,53.72549019607843
Sjefskokker,1028.0,1250.0,38050.0,41560.0,91.55437921077959,-3510.0,45.12730465320456
Sjefssekretærer,5680.0,2122.0,46190.0,53620.0,86.1432301380082,-7430.0,72.80184568059472
Skattefunksjonærer,1893.0,936.0,42980.0,44190.0,97.26182394206833,-1210.0,66.91410392364793
Skoleassistenter,1215.0,628.0,33730.0,33890.0,99.52788433166126,-160.0,65.92512208355942
Skuespillere,256.0,259.0,47050.0,47670.0,98.69939165093349,-620.0,49.70873786407767
"Slaktere, fiskehandlere mv.",565.0,1689.0,32940.0,37350.0,88.19277108433735,-4410.0,25.066548358473824
Speditører og befraktere,1403.0,2950.0,43650.0,47970.0,90.99437148217636,-4320.0,32.23064553181714
Spesialister i pedagogikk,1306.0,635.0,55210.0,57160.0,96.58852344296712,-1950.0,67.284904688305
Spesiallærere / spesialpedagoger,1907.0,186.0,47670.0,49250.0,96.79187817258882,-1580.0,91.11323459149546
Spesialsykepleiere,17357.0,2368.0,52700.0,55360.0,95.19508670520231,-2660.0,87.99493029150824
Sports- og aktivitetsinstruktører,811.0,582.0,34000.0,34100.0,99.70674486803519,-100.0,58.219669777458726
"Sports-, rekreasjons- og kultursenterledere",1097.0,1135.0,51500.0,54170.0,95.07107254938157,-2670.0,49.14874551971326
Strategi- og planleggingssjefer,2286.0,1842.0,69630.0,72280.0,96.33370226895407,-2650.0,55.377906976744185
Sveisere,186.0,5770.0,41980.0,40760.0,102.99313052011776,1220.0,3.1229012760241774
Sykepleiere,28759.0,3771.0,47850.0,49970.0,95.7574544726836,-2120.0,88.40762373193975
Systemadministratorer,308.0,907.0,53160.0,56280.0,94.45628997867804,-3120.0,25.349794238683128
