Landsforening,Sist_aar_m,Endring_m,Endring_m_pst,Sist_aar_y,Endring_y,Endring_y_pst
-  Creo,9902,369,3.870764712052869,7820.0,536.0,7.358594179022515
-  EL & IT Forbundet,40775,550,1.3673088875077688,29213.0,735.0,2.5809396727298264
-  Fagforbundet,401319,4771,1.2031330381189667,233602.0,-14495.0,-5.842472903743294
-  Fellesforbundet,161650,-3029,-1.8393359201841157,106329.0,-11805.0,-9.992889430646553
-  Fellesorganisasjonen,32184,1184,3.8193548387096774,24745.0,1007.0,4.242143398769905
-  Forbundet for Ledelse og Teknikk,21019,-916,-4.175974470025074,15052.0,101.0,0.6755400976523309
-  Handel og Kontor i Norge,79233,1452,1.8667798048366566,55147.0,992.0,1.8317791524328317
-  Industri Energi,56165,-55,-0.09782995375311276,38551.0,,
-  Norges offisers- og spesialistforbund,9027,531,6.25,6269.0,163.0,2.669505404520144
-  Norsk Arbeidsmandsforbund,34562,-359,-1.0280347069098823,26852.0,-761.0,-2.7559482852279724
-  Norsk Kabinforening,507,105,26.119402985074625,461.0,59.0,14.676616915422885
-  Norsk Nærings- og Nytelsesmiddelarbeiderforbund,28084,-137,-0.48545409446865806,16979.0,-1133.0,-6.255521201413428
-  Norsk Sjømannsforbund,11119,-289,-2.533309957924264,7424.0,71.0,0.9655922752617979
-  Norsk Sjøoffisersforbund,7322,216,3.0396847734309036,5121.0,112.0,2.2359752445597922
-  Norsk Tjenestemannslag,54027,940,1.7706783204927758,32167.0,140.0,0.43713117057482753
-  Skolenes landsforbund,7507,-37,-0.4904559915164369,4817.0,130.0,2.773629187113292
Landsorganisasjonen i Norge (LO) i alt,978338,8284,0.8539730777874223,624734.0,9730.0,1.5821035310339446
