yrke,Antall arbeidsforhold med lønnKvinner,Antall arbeidsforhold med lønnMenn,Kvinner,Menn,Kvinners lønn som andel av menns,Kvinners lønn sammenlignet med menns,Andel kvinner
Administrerende direktører,9066.0,30864.0,58110.0,68700.0,84.58515283842794,-10590.0,22.70473328324568
Agroteknikere,250.0,339.0,43600.0,46920.0,92.924126172208,-3320.0,42.444821731748725
Allmennpraktiserende leger,5095.0,4615.0,61670.0,71210.0,86.60300519589946,-9540.0,52.47167868177137
Altmuligmann,757.0,2749.0,32640.0,34750.0,93.92805755395683,-2110.0,21.591557330290932
Ambulansepersonell,2538.0,3403.0,44120.0,46720.0,94.43493150684932,-2600.0,42.720080794479045
Andre administrative ledere,11198.0,12662.0,58460.0,68310.0,85.58044210218124,-9850.0,46.932103939647945
Andre bygningsarbeidere,154.0,4214.0,28860.0,36700.0,78.6376021798365,-7840.0,3.5256410256410255
Andre daglige ledere i tjenesteytende virksomheter,601.0,355.0,42550.0,50000.0,85.1,-7450.0,62.86610878661087
Andre helseyrker,1211.0,810.0,40760.0,41100.0,99.17274939172749,-340.0,59.9208312716477
Andre hjelpearbeidere,839.0,636.0,32300.0,33130.0,97.49471777844853,-830.0,56.88135593220339
Andre hjelpearbeidere i industri,1384.0,6014.0,33970.0,37920.0,89.58333333333334,-3950.0,18.707758853744256
Andre ingeniører,4789.0,20341.0,52000.0,54790.0,94.90782989596642,-2790.0,19.05690409868683
Andre juridiske yrker,633.0,355.0,52120.0,56020.0,93.03820064262763,-3900.0,64.06882591093117
Andre ledere av produksjon og tjenesteyting,1879.0,3369.0,63160.0,68150.0,92.67791636096845,-4990.0,35.80411585365854
Andre lærere,1548.0,1724.0,46070.0,48080.0,95.81946755407654,-2010.0,47.31051344743276
Andre musikklærere,2763.0,2223.0,45840.0,45470.0,100.81372333406642,370.0,55.415162454873645
Andre opplysningsmedarbeidere,421.0,294.0,41410.0,37210.0,111.28728836334318,4200.0,58.88111888111888
Andre personlige tjenesteytere,415.0,429.0,36720.0,45480.0,80.73878627968337,-8760.0,49.170616113744074
Andre pleiemedarbeidere,63322.0,20005.0,36560.0,37810.0,96.69399629727586,-1250.0,75.99217540533081
Andre programvare- og applikasjonsutviklere,3919.0,14084.0,55000.0,59920.0,91.7890520694259,-4920.0,21.76859412320169
Andre salgsmedarbeidere,1225.0,1409.0,36830.0,38180.0,96.4641173389209,-1350.0,46.50721336370539
Andre sikkerhetsarbeidere,1607.0,2202.0,32860.0,33740.0,97.3918197984588,-880.0,42.1895510632712
Andre sivilingeniører (unntatt elektroteknologi),2446.0,4308.0,60570.0,69070.0,87.69364412914435,-8500.0,36.21557595498964
Andre yrker innen estetiske fag,702.0,958.0,42750.0,42680.0,100.16401124648546,70.0,42.28915662650603
Andre yrker innen offentlig forvaltning,5627.0,2395.0,41020.0,44000.0,93.22727272727272,-2980.0,70.14460234355522
Anleggsmaskin- og industrimekanikere,865.0,20465.0,38500.0,42130.0,91.38381201044386,-3630.0,4.055321143928739
Anleggsmaskinførere,823.0,20384.0,36890.0,41410.0,89.08476213475006,-4520.0,3.8807940774272645
Arbeidsformidlere,1496.0,1745.0,41170.0,40780.0,100.95635115252574,390.0,46.15859302684357
"Arbeidsleder, bygg og anlegg",310.0,10383.0,48040.0,53350.0,90.04686035613871,-5310.0,2.8990928644907883
"Arbeidsleder, industri",212.0,3270.0,45830.0,48300.0,94.88612836438924,-2470.0,6.0884549109707065
Arbeidsledere for kontorpersonell,4030.0,2934.0,51460.0,59590.0,86.35677127034738,-8130.0,57.86904078116025
Arealplanleggere,555.0,780.0,52120.0,52930.0,98.46967693179671,-810.0,41.57303370786517
Arkivarer og kuratorer,873.0,427.0,45830.0,47350.0,96.78986272439282,-1520.0,67.15384615384615
Arkivassistenter,808.0,284.0,41110.0,41570.0,98.89343276401252,-460.0,73.992673992674
Audiografer og logopeder,500.0,122.0,42880.0,42920.0,99.90680335507922,-40.0,80.38585209003215
