,Faktisk utvikling,NAV,Norges Bank,FIN,NHO,DNB,Danske Bank,Handelsbanken,Nordea,Konsensus
2017,2.7,,,,,,,,,
2018,2.4,,,,,,,,,
2019,2.3,,,,,,,,,
2020,5.0,,,,,,,,,
2021,3.2,,,,,,,,,
2022,1.8,,,,,,,,,
2023,,,,,,,,,,
2024,2.0,2.0,2.0,2.0,2.5,2.4,2.3,2.0,2.0,2.0
2025,2.1,2.2,2.2,2.1,2.5,2.8,2.5,2.2,2.0,2.1
2026,2.2,,2.3,,2.4,2.8,,2.2,,2.2
2027,,,2.2,,,2.8,,,,
