år,Faktisk utvikling,SSB
2015,2.8,2.8
2016,1.7,1.7
2017,2.3,2.3
2018,2.8,2.8
2019,3.5,3.5
2020,3.1,3.1
2021,3.5,3.5
2022,3.6,3.6
2023,3.8,3.8
2024,3.8,3.8
2025,3.6,3.6
