år,Faktisk utvikling,SSB
2015,1.4,1.4
2016,0.9,0.9
2017,2.0,2.0
2018,2.2,2.2
2019,2.0,2.0
2020,-2.3,-2.3
2021,4.1,4.1
2022,3.7,3.7
2023,2.7,2.7
2024,2.0,2.0
2025,1.5,1.5
