arbeidsgivarorganisasjon,2019,2020,2021,2022,2023
Arbeidsgiverforeningen SPEKTER,246.0,248.0,262.0,268.0,267.0
KS,439.0,367.0,366.0,366.0,366.0
Hovedorganisasjonen Virke,22328.0,24009.0,24685.0,25034.0,25858.0
Næringslivets Hovedorganisasjon i alt,27620.0,28972.0,29456.0,31299.0,33398.0
Andre,12884.0,12389.0,12288.0,9470.0,13445.0
