,2023,2024,2025,2026,Dato
SSB,3.5,3.8,3.9,4.0,08.09.2023
FIN,3.6,3.7,,,11.05.2023
NAV,3.7,3.8,,,21.06.2023
IMF,3.5,3.7,,,11.04.2023
OECD,3.7,3.8,,,07.06.2023
LO,3.7,3.9,4.2,,10.05.2023
NHO,3.7,3.8,3.6,,13.06.2023
DNB,3.7,3.9,3.9,3.9,24.08.2023
SEB,3.5,3.9,3.7,,29.08.2023
SØA,3.6,4.1,4.2,,13.09.2023
Konsensus,3.62,3.88,3.86,3.95,
