Landsforening,Sist_aar_m,Endring_m,Endring_m_pst,Sist_aar_y,Endring_y,Endring_y_pst
-  Befalets Fellesorganisasjon,11045,218,2.013484806502263,6433,-17,-0.2635658914728682
-  Delta,94891,3438,3.7593080598777515,48807,496,1.026681294115212
-  Finansforbundet,33242,1147,3.573765384016202,22951,65,0.2840164292580617
-  Negotia,21535,218,1.0226579725102032,17405,135,0.781702374059062
-  Parat,41055,907,2.259141177642722,31517,995,3.259943647205295
-  SAFE,11399,1110,10.788220429584994,8978,631,7.559602252306218
-  STAFO,1773,-128,-6.733298264071541,1308,-238,-15.39456662354463
-  Skolelederforbundet,4340,149,3.55523741350513,3352,119,3.680791834209712
-  Yrkestrafikkforbundet,12623,153,1.2269446672012831,9399,160,1.7317891546704187
Yrkesorganisasjonenes Sentralforbund i alt,235649,5301,2.301300640769618,153042,955,0.6279300663436059
