næring (SN2007),I alt,Grunnskole,Videregående skole,Universitet eller høyskole til og med 4 år,"Universitet eller høyskole, lengre enn 4 år"
Bergverksdrift og utvinning,74290,50250,65590,82340,96900
Bygge- og anleggsvirksomhet,46110,36830,48180,60190,71910
"Elektrisitet, vann og renovasjon",54450,38650,49050,65210,78660
Finansiering og forsikring,70360,52410,58600,70450,84440
Forretningsmessig tjenesteyting,41000,35650,41790,47160,55240
Helse- og sosialtjenester,44860,34410,39160,45890,65660
Industri,49090,38360,47400,60650,72900
Informasjon og kommunikasjon,63270,50600,57710,63460,72220
"Jordbruk, skogbruk og fiske",41880,35090,44880,51660,63490
"Off.adm., forsvar, sosialforsikring",52210,36870,46900,52920,59790
Overnattings- og serveringsvirksomhet,33340,29500,36150,37450,37180
Personlig tjenesteyting,43830,33270,40880,47860,55000
"Teknisk tjenesteyting, eiendomsdrift",60060,44230,53080,60420,68580
Transport og lagring,47860,39500,48200,60100,69880
Undervisning,46750,31620,37940,46950,53020
Uoppgitt,63440,45390,55600,75040,85340
"Varehandel, reparasjon av motorvogner",44220,36730,44330,52420,63260
