,Faktisk utvikling,SSB,NAV,Konsensus
2015,,,,
2016,,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,
2021,,,,
2022,72.7,,72.7,72.7
2023,72.5,,72.5,72.5
2024,72.3,,72.3,72.3
2025,,,,
