kjønn,2014K3,2015K3,2016K3,2017K3,2018K3,2019K3,2020K3,2021K3,2022K3,2023K3,2024K3
Kvinner,10.0,9.7,11.0,10.8,10.2,10.1,9.8,11.3,10.7,9.9,11.4
Menn,7.1,7.5,8.0,7.8,7.9,7.5,7.3,8.4,8.3,7.4,7.6
