innvandringskategori,2018K2,2019K2,2020K2,2021K2,2022K2
Ikke bosatte,83460,93120,74433,61384,85072
Innvandrere,454358,478056,457863,480275,552467
Øvrige bosatte,2309375,2333617,2248794,2300844,2400314
