,2022,2023,2024,2025,Dato
SSB,3.3,0.1,0.3,-0.5,09.09.2022
Norges Bank,3.5,-0.4,-0.1,0.5,22.09.2022
FIN,3.0,0.8,,,12.05.2022
NAV,3.1,0.9,,,15.06.2022
OECD,3.0,0.6,,,08.06.2022
NHO,2.5,1.1,0.9,,15.06.2022
LO,3.3,0.0,0.0,-0.2,22.09.2022
DNB,2.7,0.1,0.1,0.0,25.08.2022
Danske Bank,2.7,0.7,,,21.06.2022
Swedbank,2.7,0.2,0.4,,24.08.2022
Konsensus,2.9799999999999995,0.41000000000000003,0.26666666666666666,-0.05,
