alder,Antall,Endring i antall,Endring i prosent
25-39 år,492289,7942,1.639733496852463
40-54 år,475758,2166,0.4573556985759894
55-66 år,265732,6712,2.5913056906802563
67 år eller eldre,28656,2300,8.726665654879344
Alle aldre,1492295,24682,1.6817785070042306
Under 25 år,229860,5562,2.4797367787496993
