år,KommuneforvaltningenKvinner,KommuneforvaltningenMenn,Privat sektor og offentlige eide foretakKvinner,Privat sektor og offentlige eide foretakMenn,StatsforvaltningenKvinner,StatsforvaltningenMenn,Forskjell kommune,Forskjell privat,Forskjell stat
2016,39290,42290,39300,46410,44590,51020,92.90612437928588,84.68002585649644,-6430
2017,40570,43450,40290,47280,45770,52300,93.3716915995397,85.21573604060913,-6530
2018,41420,44330,41830,48640,47590,53920,93.43559666140311,85.99917763157895,-6330
2019,43100,45880,43520,50380,49070,55840,93.94071490845684,86.38348551012307,-6770
2020,43420,46150,44840,51720,49750,56450,94.08450704225352,86.69760247486465,-6700
