år,Faktisk utvikling,SSB
2015,0.4,0.4
2016,0.3,0.3
2017,1.1,1.1
2018,1.6,1.6
2019,1.6,1.6
2020,-1.5,-1.5
2021,1.2,1.2
2022,2.9,2.9
2023,1.1,1.1
2024,0.3,0.3
2025,0.1,0.1
