Time,Australia,Austria,Belgium,Canada,Chile,Colombia,Czech Republic,Denmark,Estonia,Euro area (19 countries),European Union â 27 countries (from 01/02/2020),Finland,France,G7,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,OECD - Total,Poland,Portugal,Russia,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
2015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016,99.728309,99.877092,100.097921,100.163681,101.44408,101.880426,99.648324,101.19061,102.625491,100.29882,100.456237,102.349147,100.279427,100.321926,101.355337,95.84495,97.731187,101.109382,98.812969,100.730418,99.692606,100.100485,102.785021,102.617985,99.001723,101.989921,100.393125,99.844061,99.019008,100.577258,100.546877,104.042998,100.10612,100.301006,100.367794,103.474614,88.402926,100.45087,99.401676,100.618826,102.29842,99.734306,100.302963
2017,100.854561,101.087913,99.90136,101.94905,101.386041,103.604632,103.061394,103.081941,105.666517,101.81739,102.20817,104.924754,102.395091,101.524878,103.162111,97.190337,100.713457,101.932426,103.801225,102.671793,100.335718,101.015295,107.376218,106.954523,106.312372,100.480067,100.928764,100.387115,99.202682,102.518137,102.140598,108.998817,100.90163,101.982307,102.675516,107.368238,88.353923,101.326447,100.32797,102.456507,107.165214,101.191077,101.258731
2018,100.811475,101.624302,100.133328,102.274591,104.126118,105.962979,104.47482,105.350786,111.814508,101.899235,102.925907,103.725411,102.814627,102.304265,103.203085,93.617747,104.792472,104.542239,109.265966,105.35519,100.323292,101.54942,111.478289,108.900284,108.600526,98.822155,100.453035,100.064801,101.447958,102.017169,103.172171,115.685002,100.781705,105.010968,105.077678,110.187721,88.055115,101.09914,100.657132,104.878716,109.870924,101.647994,102.326631
2019,102.079521,101.500177,100.85839,103.213104,105.126334,110.814201,107.295349,106.869184,115.812285,102.492076,103.949731,103.568273,103.215736,103.454925,103.582387,96.692463,108.838727,108.374502,112.090138,108.366182,100.755451,103.130094,114.112628,113.762081,112.850442,98.793493,98.428091,99.893494,100.338118,101.245155,104.500699,121.489302,102.263339,108.312295,107.453135,110.850369,88.42503,101.268026,103.033762,105.533024,114.132705,102.172898,103.590779
2020,103.12824,103.705325,104.026553,111.381839,119.393799,134.214135,107.760298,107.688008,119.494037,104.064513,104.565034,103.263928,103.498196,105.873745,103.97942,98.967287,112.09791,108.794555,122.434186,115.05278,103.03525,104.530906,117.585763,116.112581,119.519344,101.085592,98.212367,98.75522,101.295082,102.662632,107.89915,119.562206,103.202866,112.299021,112.741479,111.526471,,100.981177,103.299994,106.999896,121.981528,104.608418,106.263359
