REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,24.9,24.6,23.200001,23.200001,22.799999,22.5,20.4,18.799999,18.799999,19.6,18.4,18.4,18.200001,17.0,15.1,,14.6,,13.7,,
Østerrike,36.900002,36.200001,36.0,34.599998,34.799999,33.799999,31.6,30.4,29.6,29.299999,28.9,28.299999,28.0,27.799999,27.700001,27.4,26.9,26.700001,26.299999,26.299999,
Belgia,56.599998,57.599998,56.900002,55.400002,55.299999,54.900002,53.799999,53.599998,53.400002,53.799999,53.0,54.200001,54.099998,53.299999,52.900002,52.299999,51.599998,50.700001,50.0,49.099998,
Canada,28.200001,28.4,28.299999,28.200001,27.799999,27.700001,27.4,27.299999,27.0,27.299999,27.200001,26.9,27.200001,27.1,26.4,26.5,26.299999,26.299999,25.9,26.1,27.200001
Sveits,20.700001,20.200001,20.299999,20.4,19.9,19.799999,19.299999,18.9,17.9,17.700001,17.6,17.0,16.5,16.6,16.1,15.7,15.3,14.9,14.4,,
Chile,11.2,10.9,11.1,11.7,11.5,11.1,11.2,11.5,12.9,13.7,13.9,13.8,14.4,14.1,14.6,15.3,16.9,17.0,16.6,,
Colombia,12.3,,10.9,,10.5,9.6000004,9.6000004,,9.6000004,9.3999996,9.1999998,9.1000004,9.1000004,9.6999998,9.6000004,9.3999996,9.5,9.5,,,
Costa Rica,14.3,13.5,14.3,14.5,13.9,13.3,12.9,11.5,12.0,13.0,12.9,13.4,13.1,13.7,12.4,18.6,19.299999,19.299999,19.4,20.5,
Tsjekkia,27.200001,23.799999,22.4,22.299999,20.6,19.1,18.1,17.4,16.9,16.700001,16.1,15.4,14.8,13.6,12.9,11.9,11.9,11.7,11.4,,
Tyskland,24.6,23.700001,23.5,23.0,22.200001,21.5,20.6,19.799999,19.0,18.799999,18.9,18.4,18.299999,18.0,17.700001,17.6,17.0,16.700001,16.6,16.299999,
Danmark,74.5,73.900002,73.599998,72.400002,71.699997,71.5,69.699997,69.0,68.800003,68.900002,68.099998,68.699997,69.0,68.800003,68.5,68.199997,67.400002,66.699997,67.5,67.0,
Spania,17.5,17.200001,16.799999,16.5,16.0,15.5,15.6,16.4,17.4,18.299999,18.200001,17.9,17.799999,17.0,15.8,14.4,13.9,13.4,13.0,12.5,
