Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,9.29,9.23,9.14,9.07,8.99,9.18,9.07,8.69,8.18,8.81,8.75
Belgium,8.14,8.21,8.66,9.02,9.17,10.43,10.76,10.92,10.22,10.38,9.79
Bulgaria,4.48,5.66,5.32,4.46,4.16,4.5,4.09,4.36,3.63,3.47,3.96
Canada,13.76,13.55,13.47,13.53,13.3,13.72,13.41,12.77,11.47,12.02,11.91
Chile,30.4,29.74,29.15,29.09,28.69,27.66,27.58,26.99,25.41,26.5,26.34
Colombia,30.13,30.24,29.0,29.13,28.09,27.98,28.59,28.58,27.1,26.15,26.44
Costa Rica,11.13,9.02,8.37,8.75,9.39,8.04,6.46,7.02,6.48,6.91,6.22
Cyprus,15.04,17.42,18.92,18.4,16.49,15.23,13.68,13.62,13.35,12.93,11.45
Czech Republic,8.81,9.64,10.21,10.51,10.21,10.02,8.93,8.27,7.4,6.9,6.66
Denmark,8.54,8.76,8.5,8.63,12.82,12.23,10.55,10.64,10.78,10.77,10.75
Estonia,3.69,3.53,3.2,3.51,3.75,3.09,3.49,3.16,2.87,1.72,3.09
Finland,15.67,15.55,15.64,15.44,15.85,16.08,16.45,15.76,14.87,16.64,17.23
France,15.25,16.0,16.03,16.74,16.26,16.9,16.7,16.32,15.41,15.09,16.18
Germany,13.7,13.3,13.04,13.07,13.16,12.85,12.55,11.95,10.86,11.48,12.4
Greece,10.18,10.13,11.67,11.95,11.22,11.43,11.29,12.51,10.1,10.14,10.12
Hungary,9.54,10.93,10.8,11.36,9.73,8.81,7.31,6.64,5.9,5.93,5.52
Iceland,12.84,14.04,13.06,12.65,11.78,10.37,9.14,7.56,8.2,12.52,12.78
Ireland,10.16,9.98,9.31,8.68,8.84,8.98,9.85,9.59,8.75,8.96,8.02
Italy,13.79,13.18,13.57,14.03,14.01,15.4,17.02,16.99,15.07,16.44,16.8
Japan,13.7,,,,,,15.67,15.73,15.41,15.04,14.97
Korea,23.0,22.34,21.55,22.22,21.88,20.62,21.16,24.36,26.05,28.3,27.28
Latvia,4.68,4.39,3.29,3.76,3.73,3.03,2.68,3.19,2.76,2.82,2.66
Lithuania,2.64,2.71,2.76,2.06,1.94,1.65,1.58,1.47,1.25,1.91,1.9
Luxembourg,7.69,7.1,8.17,10.21,8.98,9.08,9.86,9.18,7.67,9.19,7.39
Malta,6.85,7.53,7.82,7.57,7.67,6.04,7.94,9.21,8.09,8.17,8.14
Netherlands,19.41,20.46,21.45,20.24,20.83,21.81,21.48,20.25,18.04,27.44,27.72
New Zealand,,,,,,8.16,7.84,7.73,7.61,8.01,7.13
Norway,8.64,8.48,7.93,8.08,8.83,8.5,8.43,7.98,7.79,9.31,8.51
OECD countries,12.01,11.95,12.07,12.19,12.16,12.16,12.26,12.11,11.43,11.78,11.25
Poland,26.93,26.94,28.39,27.98,27.49,26.18,24.38,21.81,18.6,15.09,15.44
Portugal,20.52,21.4,21.45,21.97,22.26,21.94,21.96,20.72,17.73,16.89,16.43
Romania,1.55,1.43,1.49,1.4,1.39,1.2,1.11,1.4,1.25,2.35,2.15
Slovak Republic,6.84,6.96,8.88,10.61,10.08,9.61,8.29,8.2,6.78,4.35,4.54
Slovenia,17.11,16.47,16.67,17.96,17.07,17.85,15.89,13.36,10.95,11.99,11.84
Spain,23.41,23.14,24.0,25.14,26.06,26.67,26.81,26.26,24.07,25.08,21.14
Sweden,16.39,16.88,17.45,17.17,16.72,16.87,16.82,16.55,15.43,15.23,15.68
Switzerland,12.87,12.9,13.05,13.58,13.3,13.36,13.11,12.66,12.9,13.37,13.56
TÃ¼rkiye,12.05,11.95,12.95,13.22,13.26,13.27,12.58,11.58,10.87,11.62,10.71
United Kingdom,6.34,6.23,6.43,6.2,6.06,5.88,5.59,5.23,5.38,5.59,5.43
