Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,36.900002,36.200001,36.0,34.599998,34.799999,33.799999,31.6,30.4,29.6,29.299999,28.9,28.299999,28.0,27.799999,27.700001,27.4,26.9,26.700001,26.299999,26.299999,
Belgium,56.599998,57.599998,56.900002,55.400002,55.299999,54.900002,53.799999,53.599998,53.400002,53.799999,53.0,54.200001,54.099998,53.299999,52.900002,52.299999,51.599998,50.700001,50.0,49.099998,
Canada,28.200001,28.4,28.299999,28.200001,27.799999,27.700001,27.4,27.299999,27.0,27.299999,27.200001,26.9,27.200001,27.1,26.4,26.5,26.299999,26.299999,25.9,26.1,27.200001
Denmark,74.5,73.900002,73.599998,72.400002,71.699997,71.5,69.699997,69.0,68.800003,68.900002,68.099998,68.699997,69.0,68.800003,68.5,68.199997,67.400002,66.699997,67.5,67.0,
Estonia,14.0,14.0,12.6,11.0,9.3999996,8.6999998,8.3999996,7.5999999,6.1999998,7.5999999,8.1999998,7.0,6.0,5.5999999,5.3000002,4.5,5.0,4.6999998,5.9000001,6.0,
Finland,74.199997,76.599998,75.699997,74.5,73.5,72.699997,71.900002,71.099998,69.900002,72.5,71.400002,69.599998,69.199997,67.5,67.800003,67.5,65.699997,62.900002,60.0,58.799999,
Germany,24.6,23.700001,23.5,23.0,22.200001,21.5,20.6,19.799999,19.0,18.799999,18.9,18.4,18.299999,18.0,17.700001,17.6,17.0,16.700001,16.6,16.299999,
Iceland,89.099998,88.900002,93.300003,86.5,84.099998,84.099998,85.199997,84.900002,84.699997,84.900002,85.199997,85.0,85.300003,88.900002,90.400002,91.599998,90.400002,91.0,90.699997,90.699997,92.199997
Ireland,35.900002,35.0,35.099998,34.900002,33.599998,32.400002,31.700001,30.5,30.9,31.9,31.6,31.6,30.1,28.5,26.299999,25.4,23.4,24.299999,24.1,25.1,26.200001
Italy,34.799999,34.200001,33.700001,33.599998,34.0,33.799999,33.599998,34.0,33.900002,34.700001,35.299999,35.200001,35.5,35.700001,35.400002,34.200001,33.599998,33.200001,32.599998,32.5,
Japan,21.5,20.9,20.299999,19.700001,19.299999,18.799999,18.299999,18.299999,18.200001,18.5,18.4,19.0,18.0,17.799999,17.6,17.5,17.4,17.200001,17.0,16.799999,
Mexico,16.700001,,15.5,,,16.9,16.299999,16.700001,15.6,15.3,14.5,14.7,14.0,13.8,13.6,13.1,12.7,12.5,12.0,12.3,12.4
Netherlands,22.299999,21.6,21.4,20.9,21.299999,22.1,21.4,20.200001,20.0,20.0,19.5,19.299999,18.799999,18.200001,18.1,17.700001,17.299999,16.799999,16.5,15.4,
Norway,53.599998,52.599998,52.799999,51.799999,51.599998,51.200001,51.099998,50.099998,49.799999,50.299999,50.5,49.900002,49.900002,49.799999,50.099998,49.799999,50.0,50.0,49.900002,50.400002,
OECD - Total,20.9,20.299999,20.0,19.700001,19.299999,19.0,18.299999,18.200001,18.0,18.1,17.799999,17.700001,17.299999,17.1,16.799999,16.5,16.200001,16.0,15.9,15.8,
Spain,17.5,17.200001,16.799999,16.5,16.0,15.5,15.6,16.4,17.4,18.299999,18.200001,17.9,17.799999,17.0,15.8,14.4,13.9,13.4,13.0,12.5,
Sweden,81.0,78.699997,78.0,77.199997,76.400002,75.699997,74.300003,70.800003,68.300003,68.400002,68.199997,67.5,67.5,67.699997,67.300003,67.0,66.699997,66.099998,65.5,65.199997,
United Kingdom,29.799999,29.299999,28.799999,29.299999,28.799999,28.6,28.299999,28.0,27.5,27.4,26.6,26.0,26.1,25.6,25.0,24.700001,23.6,23.299999,23.4,23.5,
United States,12.9,12.9,12.8,12.4,12.0,12.0,11.5,11.6,11.9,11.8,11.4,11.3,10.8,10.8,10.7,10.6,10.3,10.3,10.1,9.8999996,10.3
