år,Faktisk utvikling,SSB
2015,2.1,2.1
2016,3.6,3.6
2017,1.8,1.8
2018,2.7,2.7
2019,2.2,2.2
2020,1.3,1.3
2021,3.5,3.5
2022,3.3,3.3
2023,1.8,1.8
2024,1.9,1.9
2025,1.9,1.9
