utdanning/opplæring,2021,2022
Formell utdanning,12.0,11.0
Formell videreutdanning,6.0,6.0
Hverken deltatt i formell eller ikke-formell opplæring,52.0,46.0
Ikke-formell opplæring,42.0,49.0
Med læringsintensivt arbeid,,50.0
