målkjønn,2018,2019,2020,2021,2022,Sist år,Endring sist år,Endring siste fem år
Forskjell gjennomsnitt,87.47947454844007,87.77006937561943,87.52663180321518,87.86073356916775,87.60888888888888,87.60888888888888,-0.25184468027886453,0.12941434044881817
Forskjell gjennomsnittHeltid,89.08908908908909,89.38104448742746,89.28976199471099,89.6395580510777,89.46913366764655,89.46913366764655,-0.17042438343115407,0.38004457855745954
Forskjell median,93.78202142524454,94.27609427609428,93.70337867485739,94.10023260731656,93.51833097022482,93.51833097022482,-0.5819016370917325,-0.263690455019713
Forskjell medianHeltid,94.87063095778484,95.63213345039509,95.18613607188703,95.39852095316351,95.51854055125916,95.51854055125916,0.12001959809565221,0.6479095934743242
