yrke,2016,2017,2018,2019,2020,Endring sist år,Endring siste 5 år
Administrerende direktører,74140.0,76530.0,78490.0,80980.0,83030.0,2.5314892566065694,11.990828162934989
Advokatsekretær,39090.0,40280.0,41690.0,43130.0,44650.0,3.524229074889868,14.223586595037094
Agroteknikere,41330.0,43040.0,44540.0,46010.0,46980.0,2.108237339708759,13.670457294943143
Allmennpraktiserende leger,65450.0,67880.0,69550.0,71750.0,72730.0,1.3658536585365855,11.122994652406417
Altmuligmann,31360.0,32290.0,33030.0,34040.0,35100.0,3.1139835487661576,11.926020408163266
Ambulansepersonell,40930.0,41860.0,43500.0,44070.0,44780.0,1.6110732924892217,9.406303444905936
Andre administrative ledere,64140.0,65520.0,67370.0,69740.0,70550.0,1.1614568396902782,9.993763642033054
Andre bygningsarbeidere,34730.0,35380.0,36690.0,37990.0,38190.0,0.5264543300868649,9.962568384681832
Andre daglige ledere i tjenesteytende virksomheter,49530.0,49180.0,49800.0,50670.0,50750.0,0.15788434971383464,2.4631536442560065
Andre helseyrker,38180.0,39330.0,40220.0,41740.0,42230.0,1.1739338763775755,10.607647983237296
Andre hjelpearbeidere,30060.0,30710.0,31110.0,31280.0,32810.0,4.891304347826087,9.148369926813041
Andre hjelpearbeidere i industri,34120.0,35030.0,36060.0,37340.0,39170.0,4.900910551687199,14.800703399765533
Andre håndverkere,29360.0,30160.0,30810.0,31850.0,32990.0,3.579277864992151,12.36376021798365
Andre ingeniører,52410.0,53500.0,55150.0,57040.0,57350.0,0.5434782608695652,9.425682121732494
Andre juridiske yrker,59170.0,62360.0,63240.0,62690.0,60740.0,-3.110543946402935,2.653371641034308
Andre kunsthåndverkere,33740.0,33720.0,34610.0,36350.0,38020.0,4.594222833562586,12.685240071132187
Andre ledere av produksjon og tjenesteyting,64060.0,66070.0,68620.0,70770.0,72390.0,2.2891055532005087,13.00343428036216
Andre lærere,44330.0,46160.0,47130.0,48750.0,49680.0,1.9076923076923078,12.068576584705617
Andre lærere i estetiske fag,34290.0,36800.0,38050.0,39870.0,39400.0,-1.1788312014045648,14.90230387868183
Andre musikklærere,41270.0,42400.0,43370.0,44980.0,45410.0,0.9559804357492218,10.03149987884662
Andre opplysningsmedarbeidere,35410.0,36610.0,37470.0,38800.0,41430.0,6.778350515463917,17.000847218299917
Andre personlige tjenesteytere,36440.0,36010.0,37590.0,37330.0,40430.0,8.304312885079025,10.949506037321624
Andre pleiemedarbeidere,34910.0,35780.0,36470.0,37690.0,38030.0,0.9020960466967366,8.93726725866514
Andre programvare- og applikasjonsutviklere,55040.0,56550.0,58820.0,60810.0,62350.0,2.5324782108205888,13.28125
Andre salgsmedarbeidere,33740.0,34580.0,35880.0,36810.0,38470.0,4.509644118446075,14.018968583283936
Andre sikkerhetsarbeidere,31170.0,31970.0,32850.0,33560.0,34070.0,1.5196662693682956,9.30381777350016
Andre sivilingeniører (unntatt elektroteknologi),64680.0,66020.0,68090.0,70070.0,70650.0,0.8277436848865419,9.230055658627087
Andre språklærere,38340.0,39810.0,41170.0,43620.0,43500.0,-0.2751031636863824,13.458528951486699
Andre utøvende kunstneriske yrker,37680.0,39080.0,42210.0,42750.0,48940.0,14.47953216374269,29.883227176220807
Andre yrker innen estetiske fag,40420.0,41620.0,43070.0,44100.0,44950.0,1.9274376417233559,11.207323107372588
Andre yrker innen offentlig forvaltning,38300.0,39660.0,40930.0,42470.0,43080.0,1.4363079821050153,12.48041775456919
Anleggsmaskin- og industrimekanikere,38490.0,39530.0,41010.0,42570.0,42910.0,0.7986845196147521,11.48350220836581
Anleggsmaskinførere,37710.0,38710.0,40050.0,41480.0,42140.0,1.591128254580521,11.747547069742774
Applikasjonsprogrammerere,51870.0,55060.0,54630.0,57120.0,59420.0,4.026610644257703,14.555619818777712
Arbeidsformidlere,36460.0,36210.0,38850.0,41130.0,45530.0,10.697787503039144,24.87657707076248
"Arbeidsleder, bergfag",53080.0,54220.0,54400.0,57220.0,57320.0,0.17476406850751486,7.987942727957799
"Arbeidsleder, bygg og anlegg",49680.0,50700.0,52440.0,53830.0,54880.0,1.950585175552666,10.466988727858293
"Arbeidsleder, industri",44240.0,45560.0,47170.0,48660.0,49330.0,1.3769009453349774,11.505424954792042
Arbeidsledere for kontorpersonell,50860.0,52960.0,54390.0,56380.0,57890.0,2.678254700248315,13.822257176563117
Arealplanleggere,51360.0,52930.0,53760.0,55530.0,55720.0,0.34215739240050425,8.489096573208723
Arkivarer og kuratorer,41550.0,43210.0,44920.0,45860.0,46620.0,1.6572176188399477,12.202166064981949
Arkivassistenter,37990.0,38840.0,40290.0,41620.0,42170.0,1.3214800576645842,11.002895498815478
Audiografer og logopeder,39410.0,40390.0,41860.0,43740.0,44570.0,1.8975765889346137,13.093123572697285
Automatikere,44430.0,45380.0,46090.0,47530.0,48460.0,1.95665895224069,9.070447895566058
"Bakere, konditorer mv.",32790.0,33080.0,33910.0,34960.0,35150.0,0.5434782608695652,7.19731625495578
Barnehage- og skolefritidsassistenter mv.,30230.0,30960.0,31650.0,32800.0,32980.0,0.548780487804878,9.096923585841878
Bartendere,26790.0,27050.0,28300.0,29800.0,30100.0,1.006711409395973,12.355356476297127
Befal med sersjant grad,37640.0,41030.0,43110.0,47910.0,52180.0,8.912544353997077,38.629117959617425
Begravelsesbyrå- og krematoriearbeidere,39240.0,40450.0,41660.0,43570.0,44550.0,2.2492540739040625,13.53211009174312
Bergfagarbeidere,39740.0,41200.0,41730.0,43240.0,44140.0,2.0814061054579094,11.071967790639155
Betongarbeidere,38480.0,39250.0,40420.0,41750.0,42840.0,2.6107784431137726,11.33056133056133
Bibliotekarer og andre informasjonsarbeidere,39500.0,40490.0,41530.0,43040.0,43480.0,1.0223048327137547,10.075949367088608
Bibliotekassistenter,32890.0,35220.0,36270.0,36830.0,37340.0,1.3847407005158838,13.529948312557009
"Bil-, drosje- og varebilførere",32510.0,32380.0,32960.0,34140.0,34220.0,0.23432923257176333,5.259920024607813
Billettselgere,33670.0,35160.0,35040.0,37130.0,38050.0,2.4777807702666306,13.00861300861301
Bilmekanikere,34620.0,35450.0,36330.0,37420.0,38580.0,3.099946552645644,11.438474870017332
Bilvaskere,29920.0,30550.0,31280.0,32200.0,33360.0,3.602484472049689,11.497326203208557
"Bingoverter, bookmakere mv.",28890.0,29500.0,30280.0,30790.0,31320.0,1.7213380967846703,8.411214953271028
Bioingeniører,40430.0,41520.0,42880.0,44370.0,44790.0,0.9465855307640297,10.784071234232005
"Biologer, botanikere, zoologer mv.",54190.0,55320.0,56520.0,58360.0,59350.0,1.6963673749143249,9.52205203912161
Bioteknikere (ikke-medisinske laboratorier),37990.0,39100.0,40610.0,41880.0,42590.0,1.6953199617956063,12.108449591997895
Brannkonstabler,44600.0,46190.0,47510.0,49030.0,49480.0,0.917805425249847,10.941704035874439
"Brukerstøtte, IKT",40920.0,42100.0,44060.0,46570.0,47590.0,2.190251234700451,16.300097751710656
Bud mv.,28910.0,31670.0,31990.0,31750.0,33720.0,6.2047244094488185,16.63784157730889
Bussjåfører og trikkeførere,34690.0,35170.0,35910.0,36840.0,37420.0,1.5743756786102063,7.869703084462381
Butikkavdelingssjefer,36950.0,37550.0,38670.0,39930.0,40950.0,2.5544703230653645,10.825439783491204
Butikkmedarbeidere,30140.0,30870.0,31790.0,32790.0,33760.0,2.958218969197926,12.01061712010617
Bygningsingeniører,50980.0,52170.0,53770.0,55220.0,56010.0,1.4306410720753349,9.866614358571988
Databasedesignere og -administratorer,53090.0,54430.0,56740.0,59710.0,59440.0,-0.4521855635571931,11.96082124693916
Dataregistrere,38480.0,39930.0,42220.0,44320.0,46970.0,5.979241877256318,22.063409563409564
Dekks- og maskinmannskap (skip),40070.0,40980.0,41660.0,43450.0,44370.0,2.1173762945914847,10.731220364362366
Dekksoffiserer og loser,60450.0,61740.0,62930.0,65170.0,66360.0,1.8259935553168638,9.77667493796526
Demonstrasjonsselgere,28680.0,28940.0,33160.0,35880.0,37000.0,3.121516164994426,29.009762900976288
Desinfeksjonsarbeidere og skadedyrbekjempere,38020.0,39210.0,39780.0,41290.0,41510.0,0.5328166626301768,9.179379274066282
"Dirigenter, komponister, musikere og sangere",45110.0,45830.0,46730.0,48270.0,48900.0,1.305158483530143,8.40168477056085
Dommere,75920.0,78170.0,79140.0,82510.0,83730.0,1.478608653496546,10.28714436248683
"Driftsteknikere, IKT",48370.0,49540.0,51140.0,52620.0,53990.0,2.603572786012923,11.618771966094686
Dyrepassere og - trenere mv.,28200.0,28760.0,29860.0,31320.0,32380.0,3.3844189016602813,14.822695035460992
Dyrepleiere,28910.0,30010.0,31830.0,32920.0,33400.0,1.4580801944106925,15.530958145970253
Dørselgere,44480.0,41890.0,44740.0,43230.0,41690.0,-3.5623409669211195,-6.272482014388489
Egg- og fjærfeprodusenter,29600.0,29980.0,30900.0,31960.0,34400.0,7.634543178973717,16.216216216216218
Eiendomsmeglere og - forvaltere,65210.0,63980.0,66790.0,68330.0,73010.0,6.849114590955656,11.961355620303635
Elektrikere,39210.0,40080.0,40890.0,42380.0,43220.0,1.9820670127418596,10.226982912522315
Elektronikkingeniører,54250.0,55190.0,57090.0,58740.0,59080.0,0.5788219271365339,8.903225806451614
Elkraftingeniører,55060.0,56180.0,57950.0,60190.0,59940.0,-0.41535138727363347,8.863058481656374
Energikontrolloperatører,46530.0,49040.0,50530.0,55680.0,56210.0,0.951867816091954,20.803782505910164
Energimontører,39250.0,40750.0,41880.0,42700.0,42930.0,0.5386416861826698,9.375796178343949
Ergoterapeuter,38170.0,39350.0,40250.0,42070.0,42120.0,0.11884953648680771,10.348441184176055
Ernæringsfysiologer,47440.0,48780.0,50060.0,51080.0,51140.0,0.11746280344557558,7.799325463743677
Farmasøyter,49530.0,50620.0,51970.0,53700.0,53700.0,0.0,8.419139915202907
"Feiere, fasaderenholdere mv.",35030.0,36000.0,36610.0,37410.0,38600.0,3.1809676557070303,10.191264630316871
Fengselsbetjenter,38780.0,39960.0,41060.0,42000.0,42940.0,2.238095238095238,10.72717895822589
Finans- og investeringsrådgivere,58800.0,60090.0,61750.0,63340.0,66180.0,4.483738553836438,12.551020408163266
Finans- og økonomisjefer,76510.0,79750.0,82730.0,86540.0,89490.0,3.408828287497111,16.965102600967192
Finansanalytikere,58250.0,59980.0,61650.0,64150.0,65610.0,2.275915822291504,12.63519313304721
Finansmeglere,90630.0,89710.0,91790.0,95400.0,95990.0,0.6184486373165619,5.914156460333223
Fiskere,35300.0,35440.0,35820.0,38460.0,41020.0,6.6562662506500265,16.203966005665723
Flygeledere,78350.0,81920.0,84700.0,88610.0,93730.0,5.778128879358989,19.629865985960436
Flygere,84460.0,85690.0,90060.0,90980.0,88770.0,-2.4291052978676633,5.103007340753019
"Flyverter, båtverter mv.",35070.0,35470.0,36950.0,37320.0,40090.0,7.422293676312969,14.314228685486171
Forfattere mv.,51180.0,52100.0,53390.0,53800.0,55020.0,2.2676579925650557,7.502930832356388
Forsikrings- og finansmedarbeidere,41940.0,42090.0,43330.0,44110.0,45530.0,3.2192246656087056,8.559847401049117
Forsikringsagenter,53360.0,53600.0,54780.0,57540.0,58860.0,2.2940563086548487,10.307346326836582
Forsknings- og utviklingsledere,75990.0,77320.0,78710.0,82800.0,82880.0,0.0966183574879227,9.066982497697065
Fotografer og filmfotografer,40570.0,41860.0,43030.0,44100.0,46160.0,4.671201814058957,13.778654177964011
Frisører,29820.0,30000.0,30660.0,31380.0,32450.0,3.4098151688973872,8.819584171696848
Fyrkjele- og turbinoperatører,39400.0,40700.0,41940.0,43680.0,44330.0,1.488095238095238,12.51269035532995
Fysikere og astronomer,57170.0,60030.0,61810.0,63130.0,63460.0,0.5227308728021544,11.002273919888053
Fysioterapeuter,38790.0,40020.0,41330.0,42900.0,43120.0,0.5128205128205128,11.162670791441093
Førskolelærere,37710.0,38800.0,39610.0,41460.0,41620.0,0.3859141341051616,10.368602492707504
Førtrykkere,38590.0,38480.0,39190.0,39910.0,40690.0,1.9543973941368076,5.441824306815237
Gartnere,31480.0,32420.0,32930.0,33860.0,34260.0,1.1813349084465445,8.831003811944091
Gatekjøkken- og kafémedarbeidere mv.,25540.0,26130.0,27490.0,28570.0,28640.0,0.2450122506125306,12.137823022709474
Geistlige yrker,49660.0,49540.0,50480.0,51990.0,52150.0,0.30775149067128293,5.014095851792187
Geologer og geofysikere,80660.0,80240.0,83600.0,86420.0,85290.0,-1.3075676926637354,5.740143813538309
Gjenvinningsarbeidere,31020.0,32020.0,33050.0,34170.0,35310.0,3.336259877085163,13.829787234042554
