år,"Årslønn, påløpt (1 000 kr)"
2008,403.0
2009,419.8
2010,435.4
2011,453.6
2012,472.0
2013,490.6
2014,505.6
2015,519.8
2016,528.9
2017,541.0
2018,556.3
2019,575.7
2020,593.5
