år,Faktisk utvikling,SSB
2015,4.5,4.5
2016,4.7,4.7
2017,4.2,4.2
2018,3.8,3.8
2019,3.7,3.7
2020,4.6,4.6
2021,4.4,4.4
2022,3.5,3.5
2023,3.6,3.6
2024,3.6,3.6
2025,3.6,3.6
