region,Kvinner,Menn,Forskjell i lønn nominelt,Forskjell i lønn andel
Vestvågøy,50550.0,51530.0,-980.0,98.0981952260819
Vik,51110.0,52710.0,-1600.0,96.96452286093721
Vindafjord,51650.0,54940.0,-3290.0,94.0116490717146
Volda,53640.0,55120.0,-1480.0,97.31494920174165
Voss,50830.0,54770.0,-3940.0,92.80628081066277
Vågan,50700.0,52250.0,-1550.0,97.03349282296651
Vågå,50000.0,50440.0,-440.0,99.12767644726408
Våler – Innlandet,48700.0,47900.0,800.0,101.67014613778707
Åfjord,50640.0,53740.0,-3100.0,94.23148492742835
Åmli,50670.0,51710.0,-1040.0,97.98878360085091
Åmot,51570.0,53190.0,-1620.0,96.95431472081218
Årdal,53590.0,61860.0,-8270.0,86.6311024894924
Åsnes,51470.0,49210.0,2260.0,104.59256248729933
Øksnes,48000.0,52300.0,-4300.0,91.77820267686424
Ørland,50350.0,57370.0,-7020.0,87.7636395328569
Ørsta,50450.0,53940.0,-3490.0,93.5298479792362
Østre Toten,51050.0,51360.0,-310.0,99.39641744548287
Øyer,49900.0,50900.0,-1000.0,98.03536345776031
Øygarden,52270.0,58370.0,-6100.0,89.54942607503855
Øystre Slidre,50410.0,48280.0,2130.0,104.41176470588236
