år,Faktisk utvikling,SSB
2015,1.5,1.5
2016,0.2,0.2
2017,-0.2,-0.2
2018,1.4,1.4
2019,1.0,1.0
2020,0.4,0.4
2021,2.2,2.2
2022,0.9,0.9
2023,1.2,1.2
2024,0.4,0.4
2025,0.4,0.4
