Time,Austria,Belgium,Denmark,Estonia,European Union - 27 countries (from 2020),Finland,France,Germany,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland
2023-Q3,65.3,57.9,68.2,68.7,61.3,63.8,58.8,67.8,77.6,67.9,53.4,64.2,73.2,70.4,61.9,63.6,57.5,69.5,72.5
2023-Q4,65.3,58.4,68.8,69.3,61.5,63.6,59.0,67.9,77.5,67.9,53.9,63.3,73.3,70.0,62.0,63.6,57.6,69.2,72.7
