,2023,2024,2025,2026,Dato
SSB,5.6,5.4,4.3,4.0,08.12.2023
Norges Bank,5.5,5.0,4.3,3.7,14.12.2023
FIN,5.5,4.9,,,06.10.2023
Danske Bank,5.3,4.7,3.5,,05.03.2024
DNB,5.4,5.1,4.2,4.0,25.01.2024
Handelsbanken,5.5,5.0,4.2,,20.12.2023
Nordea,5.6,4.8,4.0,,24.01.2024
SEB,5.5,4.9,4.0,,23.01.2024
SØA,5.6,4.8,4.0,4.0,13.09.2023
Konsensus,5.49,4.99,4.07,3.9,
